 format: day,hour,forecast,value  location:60_37 Start : 20160101 
 1,0200,+4,10.000000 
 1,0200,+7,10.000000 
 1,0200,+10,20.000000 
 1,0200,+13,20.000000 
 1,0200,+16,20.000000 
 1,0200,+19,20.000000 
 1,0200,+22,20.000000 
 1,0200,+25,20.000000 
 1,0200,+28,20.000000 
 1,0200,+31,20.000000 
 1,0200,+34,20.000000 
 1,0200,+37,20.000000 
 1,0200,+40,20.000000 
 1,0200,+43,20.000000 
 1,0200,+46,20.000000 
 1,0200,+49,14.000000 
 1,0200,+52,11.000000 
 1,0200,+55,14.000000 
 1,0200,+58,11.000000 
 1,0200,+61,11.000000 
 1,0500,+4,10.000000 
 1,0500,+7,20.000000 
 1,0500,+10,20.000000 
 1,0500,+13,20.000000 
 1,0500,+16,20.000000 
 1,0500,+19,20.000000 
 1,0500,+22,20.000000 
 1,0500,+25,20.000000 
 1,0500,+28,20.000000 
 1,0500,+31,20.000000 
 1,0500,+34,20.000000 
 1,0500,+37,20.000000 
 1,0500,+40,20.000000 
 1,0500,+43,20.000000 
 1,0500,+46,14.000000 
 1,0500,+49,11.000000 
 1,0500,+52,14.000000 
 1,0500,+55,11.000000 
 1,0500,+58,11.000000 
 1,0800,+4,20.000000 
 1,0800,+7,20.000000 
 1,0800,+10,20.000000 
 1,0800,+13,20.000000 
 1,0800,+16,20.000000 
 1,0800,+19,20.000000 
 1,0800,+22,20.000000 
 1,0800,+25,20.000000 
 1,0800,+28,20.000000 
 1,0800,+31,20.000000 
 1,0800,+34,20.000000 
 1,0800,+37,20.000000 
 1,0800,+40,20.000000 
 1,0800,+43,10.000000 
 1,0800,+46,10.000000 
 1,0800,+49,10.000000 
 1,0800,+52,10.000000 
 1,0800,+55,10.000000 
 1,1100,+4,20.000000 
 1,1100,+7,20.000000 
 1,1100,+10,20.000000 
 1,1100,+13,20.000000 
 1,1100,+16,20.000000 
 1,1100,+19,20.000000 
 1,1100,+22,20.000000 
 1,1100,+25,20.000000 
 1,1100,+28,20.000000 
 1,1100,+31,20.000000 
 1,1100,+34,20.000000 
 1,1100,+37,20.000000 
 1,1100,+40,10.000000 
 1,1100,+43,10.000000 
 1,1100,+46,10.000000 
 1,1100,+49,10.000000 
 1,1100,+52,10.000000 
 1,1400,+4,20.000000 
 1,1400,+7,20.000000 
 1,1400,+10,20.000000 
 1,1400,+13,20.000000 
 1,1400,+16,20.000000 
 1,1400,+19,20.000000 
 1,1400,+22,20.000000 
 1,1400,+25,20.000000 
 1,1400,+28,20.000000 
 1,1400,+31,20.000000 
 1,1400,+34,20.000000 
 1,1400,+37,10.000000 
 1,1400,+40,10.000000 
 1,1400,+43,10.000000 
 1,1400,+46,10.000000 
 1,1400,+49,10.000000 
 1,1700,+4,20.000000 
 1,1700,+7,20.000000 
 1,1700,+10,20.000000 
 1,1700,+13,20.000000 
 1,1700,+16,20.000000 
 1,1700,+19,20.000000 
 1,1700,+22,20.000000 
 1,1700,+25,20.000000 
 1,1700,+28,20.000000 
 1,1700,+31,20.000000 
 1,1700,+34,10.000000 
 1,1700,+37,10.000000 
 1,1700,+40,10.000000 
 1,1700,+43,10.000000 
 1,1700,+46,10.000000 
 1,2000,+4,20.000000 
 1,2000,+7,20.000000 
 1,2000,+10,20.000000 
 1,2000,+13,20.000000 
 1,2000,+16,20.000000 
 1,2000,+19,20.000000 
 1,2000,+22,20.000000 
 1,2000,+25,20.000000 
 1,2000,+28,20.000000 
 1,2000,+31,10.000000 
 1,2000,+34,10.000000 
 1,2000,+37,10.000000 
 1,2000,+40,10.000000 
 1,2000,+43,10.000000 
 1,2000,+46,10.000000 
 1,2000,+49,20.000000 
 1,2000,+52,20.000000 
 1,2000,+55,20.000000 
 1,2000,+58,20.000000 
 1,2000,+61,30.000000 
 1,2000,+64,30.000000 
