 format: day,hour,forecast,value  location:60_37 Start : 20160101 
 1,0200,+4,326.000000 
 1,0200,+7,309.000000 
 1,0200,+10,232.000000 
 1,0200,+13,232.000000 
 1,0200,+16,244.000000 
 1,0200,+19,243.000000 
 1,0200,+22,252.000000 
 1,0200,+25,249.000000 
 1,0200,+28,282.000000 
 1,0200,+31,290.000000 
 1,0200,+34,239.000000 
 1,0200,+37,253.000000 
 1,0200,+40,261.000000 
 1,0200,+43,316.000000 
 1,0200,+46,325.000000 
 1,0200,+49,330.000000 
 1,0200,+52,340.000000 
 1,0200,+55,334.000000 
 1,0200,+58,327.000000 
 1,0200,+61,328.000000 
 1,0500,+4,309.000000 
 1,0500,+7,232.000000 
 1,0500,+10,232.000000 
 1,0500,+13,244.000000 
 1,0500,+16,243.000000 
 1,0500,+19,252.000000 
 1,0500,+22,249.000000 
 1,0500,+25,282.000000 
 1,0500,+28,290.000000 
 1,0500,+31,239.000000 
 1,0500,+34,253.000000 
 1,0500,+37,261.000000 
 1,0500,+40,316.000000 
 1,0500,+43,325.000000 
 1,0500,+46,330.000000 
 1,0500,+49,340.000000 
 1,0500,+52,334.000000 
 1,0500,+55,327.000000 
 1,0500,+58,328.000000 
 1,0800,+4,235.000000 
 1,0800,+7,237.000000 
 1,0800,+10,244.000000 
 1,0800,+13,249.000000 
 1,0800,+16,255.000000 
 1,0800,+19,249.000000 
 1,0800,+22,283.000000 
 1,0800,+25,290.000000 
 1,0800,+28,237.000000 
 1,0800,+31,248.000000 
 1,0800,+34,258.000000 
 1,0800,+37,314.000000 
 1,0800,+40,325.000000 
 1,0800,+43,330.000000 
 1,0800,+46,338.000000 
 1,0800,+49,330.000000 
 1,0800,+52,325.000000 
 1,0800,+55,325.000000 
 1,1100,+4,237.000000 
 1,1100,+7,244.000000 
 1,1100,+10,249.000000 
 1,1100,+13,255.000000 
 1,1100,+16,249.000000 
 1,1100,+19,283.000000 
 1,1100,+22,290.000000 
 1,1100,+25,237.000000 
 1,1100,+28,248.000000 
 1,1100,+31,258.000000 
 1,1100,+34,314.000000 
 1,1100,+37,325.000000 
 1,1100,+40,330.000000 
 1,1100,+43,338.000000 
 1,1100,+46,330.000000 
 1,1100,+49,325.000000 
 1,1100,+52,325.000000 
 1,1400,+4,239.000000 
 1,1400,+7,251.000000 
 1,1400,+10,259.000000 
 1,1400,+13,248.000000 
 1,1400,+16,289.000000 
 1,1400,+19,299.000000 
 1,1400,+22,231.000000 
 1,1400,+25,239.000000 
 1,1400,+28,255.000000 
 1,1400,+31,310.000000 
 1,1400,+34,322.000000 
 1,1400,+37,321.000000 
 1,1400,+40,320.000000 
 1,1400,+43,314.000000 
 1,1400,+46,316.000000 
 1,1400,+49,317.000000 
 1,1700,+4,251.000000 
 1,1700,+7,259.000000 
 1,1700,+10,248.000000 
 1,1700,+13,289.000000 
 1,1700,+16,299.000000 
 1,1700,+19,231.000000 
 1,1700,+22,239.000000 
 1,1700,+25,255.000000 
 1,1700,+28,310.000000 
 1,1700,+31,322.000000 
 1,1700,+34,321.000000 
 1,1700,+37,320.000000 
 1,1700,+40,314.000000 
 1,1700,+43,316.000000 
 1,1700,+46,317.000000 
 1,2000,+4,264.000000 
 1,2000,+7,221.000000 
 1,2000,+10,193.000000 
 1,2000,+13,267.000000 
 1,2000,+16,242.000000 
 1,2000,+19,218.000000 
 1,2000,+22,245.000000 
 1,2000,+25,283.000000 
 1,2000,+28,328.000000 
 1,2000,+31,339.000000 
 1,2000,+34,356.000000 
 1,2000,+37,337.000000 
 1,2000,+40,301.000000 
 1,2000,+43,273.000000 
 1,2000,+46,297.000000 
 1,2000,+49,316.000000 
 1,2000,+52,324.000000 
 1,2000,+55,333.000000 
 1,2000,+58,330.000000 
 1,2000,+61,332.000000 
 1,2000,+64,334.000000 
 1,2000,+67,339.000000 
 1,2300,+4,221.000000 
 1,2300,+7,193.000000 
