지점,일시,기온,풍향,풍속,강수량,현지기압,해면기압,습도
862,2017-01-01 01:00,4.9,226.1,.8,0,1019.4,1029.7,86.3
862,2017-01-01 02:00,4.5,229.4,1.1,0,1019.5,1029.8,88.1
862,2017-01-01 03:00,4.9,0,.3,0,1019.3,1029.6,89.7
862,2017-01-01 04:00,6.2,239.6,1.4,0,1019.1,1029.3,84.7
862,2017-01-01 05:00,6.2,235.7,1.1,0,1018.8,1029,85.6
862,2017-01-01 06:00,6.8,217.9,1,0,1018.7,1028.9,82.4
862,2017-01-01 07:00,7.4,234.5,1.4,0,1019.4,1029.6,78.8
862,2017-01-01 08:00,4.3,0,.2,0,1019.5,1029.8,90.3
862,2017-01-01 09:00,7.8,219.3,.8,0,1019.9,1030,79.7
862,2017-01-01 10:00,11.7,285.8,1.5,0,1020.2,1030.2,62.8
862,2017-01-01 11:00,11.7,329.4,1.2,0,1020.1,1030.1,62.3
862,2017-01-01 12:00,12.9,302,1.7,0,1019.5,1029.4,60.6
862,2017-01-01 13:00,12.9,11.4,2.3,0,1018.4,1028.3,59.1
862,2017-01-01 14:00,13.5,333.8,2,0,1017.2,1027.1,60.4
862,2017-01-01 15:00,12.3,62.2,2.3,0,1016.6,1026.5,64.4
862,2017-01-01 16:00,11.7,88.2,2.3,0,1016.2,1026.2,69.3
862,2017-01-01 17:00,10.5,64.2,1.4,0,1015.6,1025.6,73.9
862,2017-01-01 18:00,6.5,0,.1,0,1015.4,1025.6,90.5
862,2017-01-01 19:00,7.5,213.1,.9,0,1015.9,1026,88.7
862,2017-01-01 20:00,7.5,0,.4,0,1015.9,1026,87.9
862,2017-01-01 21:00,7.5,341.4,1.1,0,1015.7,1025.8,89.9
862,2017-01-01 22:00,4.4,209.6,1,0,1015.2,1025.4,94.3
862,2017-01-01 23:00,5,213.6,1,0,1014.8,1025,95.8
862,2017-01-02 00:00,6.8,211.6,1.3,0,1014.5,1024.6,93.3
862,2017-01-02 01:00,6.8,0,.4,0,1014.1,1024.2,92.8
862,2017-01-02 02:00,7,195.5,.8,0,1013.4,1023.5,94.5
862,2017-01-02 03:00,7.1,209.8,1,0,1013.3,1023.4,94.2
