일시,운형(운형약어),기온(C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(C),현지기압(hPa),해면기압(hPa),일조(hr),적설(cm),시정(10m),지면온도(C)
2016-01-01 00:00,,3.6,,1.9,290.0,75.0,5.9,-0.4,1031.0,1033.2,,,1100.0,2.7
2016-01-01 01:00,,3.7,,2.5,290.0,75.0,6.0,-0.3,1030.4,1032.6,,,1000.0,2.7
2016-01-01 02:00,,4.2,,2.7,270.0,73.0,6.0,-0.2,1030.2,1032.4,,,1100.0,3.0
2016-01-01 03:00,,4.8,,2.9,290.0,70.0,6.0,-0.2,1030.0,1032.2,,,1100.0,3.1
2016-01-01 04:00,,5.2,,2.8,290.0,70.0,6.2,0.1,1029.8,1032.0,,,1100.0,3.3
2016-01-01 05:00,,5.2,,3.2,290.0,69.0,6.1,0.0,1029.7,1031.9,,,1200.0,3.7
2016-01-01 06:00,,5.1,,3.1,290.0,69.0,6.1,-0.1,1029.5,1031.7,,,1200.0,3.3
2016-01-01 07:00,,5.9,,3.2,290.0,67.0,6.2,0.2,1030.1,1032.3,,,1300.0,3.6
2016-01-01 08:00,,6.3,,3.0,290.0,68.0,6.5,0.8,1030.5,1032.7,0.0,,1200.0,4.3
2016-01-01 09:00,,7.0,,2.3,290.0,67.0,6.7,1.2,1030.8,1033.0,0.0,,1300.0,5.3
2016-01-01 10:00,,8.2,,3.6,290.0,61.0,6.6,1.1,1031.2,1033.4,0.1,,1400.0,6.6
2016-01-01 11:00,,8.8,,2.9,320.0,59.0,6.7,1.2,1031.6,1033.8,0.2,,1700.0,7.7
2016-01-01 12:00,,9.4,,1.7,340.0,60.0,7.1,2.0,1030.7,1032.9,0.0,,1600.0,8.6
2016-01-01 13:00,,10.2,,1.6,70.0,58.0,7.2,2.2,1029.2,1031.4,0.4,,1600.0,12.5
2016-01-01 14:00,,10.1,,1.0,160.0,62.0,7.6,3.1,1028.3,1030.5,0.3,,1400.0,12.0
2016-01-01 15:00,,10.4,,0.9,250.0,63.0,7.9,3.6,1028.0,1030.2,0.0,,1600.0,11.0
