지점,일시,기온,풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
792,2017-01-01 00:00,3.7,330.8,2.3,0,,,,0,0
792,2017-01-01 01:00,4.1,318.6,3.2,0,,,,0,0
792,2017-01-01 02:00,4.3,330.8,2.2,0,,,,0,0
792,2017-01-01 03:00,4.8,317.4,2.5,0,,,,0,0
792,2017-01-01 04:00,4.6,324.5,2.2,0,,,,0,0
792,2017-01-01 05:00,5.9,319.2,2.8,0,,,,0,0
792,2017-01-01 06:00,6.6,338.1,1.7,0,,,,0,0
792,2017-01-01 07:00,5.6,314.6,2.3,0,,,,0,0
792,2017-01-01 08:00,5.5,320.4,2.5,0,,,,0,0
792,2017-01-01 09:00,8.1,330.7,2.2,0,,,,0,0
792,2017-01-01 10:00,10.5,339,2.2,0,,,,0,0
792,2017-01-01 11:00,11.2,338.6,2.2,0,,,,0,0
792,2017-01-01 12:00,11.8,216.5,2.1,0,,,,0,0
792,2017-01-01 13:00,12.4,212,2.5,0,,,,0,0
792,2017-01-01 14:00,13.3,222.6,2.5,0,,,,0,0
792,2017-01-01 15:00,12.4,184.8,3.2,0,,,,0,0
792,2017-01-01 16:00,12.4,214.3,2.5,0,,,,0,0
792,2017-01-01 17:00,11.1,185.1,.9,0,,,,0,0
792,2017-01-01 18:00,7,0,.2,0,,,,0,0
792,2017-01-01 19:00,8.1,297.2,.6,0,,,,0,0
792,2017-01-01 20:00,8.7,314.1,1.1,0,,,,0,0
792,2017-01-01 21:00,8.4,345.1,1,0,,,,0,0
792,2017-01-01 22:00,8.6,345.1,1.1,0,,,,0,0
792,2017-01-01 23:00,8.7,330.4,1.8,0,,,,0,0
792,2017-01-02 00:00,8.7,317.2,1.6,0,,,,0,0
792,2017-01-02 01:00,8.5,331.3,1,0,,,,0,0
792,2017-01-02 02:00,8.3,355,1.7,0,,,,0,0
792,2017-01-02 03:00,8.6,299.7,.5,0,,,,0,0
792,2017-01-02 04:00,8.7,349.4,1.6,0,,,,0,0
792,2017-01-02 05:00,7.4,343.8,1.7,0,,,,0,0
792,2017-01-02 06:00,8.4,340,1,0,,,,0,0
792,2017-01-02 07:00,10.2,350,2.1,0,,,,0,0
792,2017-01-02 08:00,9.3,336.9,1.8,0,,,,0,0
792,2017-01-02 09:00,10,348.8,2.7,0,,,,0,0
792,2017-01-02 10:00,10.6,2,3,0,,,,0,0
792,2017-01-02 11:00,10.9,1.8,2.9,0,,,,0,0
792,2017-01-02 12:00,11.3,340.8,2.9,0,,,,0,0
792,2017-01-02 13:00,12.9,344.9,2.3,0,,,,0,0
792,2017-01-02 14:00,13.5,343.3,2.9,0,,,,0,0
792,2017-01-02 15:00,12.9,3.3,1.8,0,,,,0,0
792,2017-01-02 16:00,13.1,351.6,2.3,0,,,,0,0
792,2017-01-02 17:00,11.9,331.9,2.2,0,,,,0,0
792,2017-01-02 18:00,10.8,340.6,3,0,,,,0,0
792,2017-01-02 19:00,10.1,330.3,4,0,,,,0,0
792,2017-01-02 20:00,9.5,343.2,4.4,0,,,,0,0
792,2017-01-02 21:00,8.7,344.1,3.7,0,,,,0,0
792,2017-01-02 22:00,8.3,328.2,2.4,0,,,,0,0
792,2017-01-02 23:00,6.7,355.8,1.4,0,,,,0,0
792,2017-01-03 00:00,7.9,331.1,2.4,0,,,,0,0
