지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
185,2016-01-01 00:00,7.2,,4.5,20,60,6.1,0,1024.4,1033.7,,,,,,,,,1100,,,5.5,,,,
185,2016-01-01 01:00,6.1,,3,70,63,5.9,-.4,1024.2,1033.5,,,,,,,,,800,,,5.2,,,,
185,2016-01-01 02:00,6.9,,5.3,20,60,6,-.3,1024,1033.3,,,,,,,,,1100,,,4.7,,,,
185,2016-01-01 03:00,6.5,,4.9,20,62,6,-.2,1023.7,1033,,,,,,,,,800,,,3.9,,,,
185,2016-01-01 04:00,6,,4.3,50,63,5.9,-.5,1023.5,1032.8,,,,,,,,,800,,,3.1,,,,
185,2016-01-01 05:00,5.7,,4.5,70,64,5.9,-.5,1023.3,1032.6,,,,,,,,,800,,,2.6,,,,
185,2016-01-01 06:00,6.1,,4.6,20,65,6.1,0,1023.5,1032.8,,,,,,,,,800,,,2.3,,,,
185,2016-01-01 07:00,6.2,,4.1,20,66,6.2,.3,1023.8,1033.1,,,,,,,,,800,,,2.2,,,,
185,2016-01-01 08:00,6.2,,3.9,20,66,6.2,.3,1024.1,1033.4,0,.01,,,,,,,900,,,2.1,,,,
185,2016-01-01 09:00,7.2,,3.6,360,65,6.6,1,1024.8,1034.1,.8,.29,,,,,,,800,,,3.7,,,,
185,2016-01-01 10:00,8.9,,4.3,340,60,6.8,1.5,1025.2,1034.4,1,.84,,,,,,,1000,,,8,,,,
185,2016-01-01 11:00,8.9,,5.1,320,60,6.8,1.5,1025.3,1034.5,.3,.93,,,,,,,1200,,,11.8,,,,
185,2016-01-01 12:00,9.5,,4.2,320,58,6.9,1.6,1024.3,1033.5,.3,1.12,,,,,,,1200,,,14.6,,,,
185,2016-01-01 13:00,9.9,,3.8,320,56,6.8,1.5,1022.9,1032.1,.4,1.39,,,,,,,1500,,,18.3,,,,
185,2016-01-01 14:00,10.5,,4.4,290,56,7.1,2,1022.2,1031.3,.5,1.48,,,,,,,1500,,,18.7,,,,
185,2016-01-01 15:00,9.8,,4.7,290,60,7.2,2.3,1022,1031.1,.1,.79,,,,,,,1400,,,16.1,,,,
185,2016-01-01 16:00,8.8,,4.6,250,56,6.3,.4,1021.9,1031.1,.8,.88,,,,,,,1400,,,14.6,,,,
185,2016-01-01 17:00,8.6,,3.9,270,58,6.4,.7,1021.7,1030.9,.1,.2,,,,,,,1400,,,10.9,,,,
185,2016-01-01 18:00,9.1,,3.4,200,58,6.7,1.2,1021.7,1030.8,0,.02,,,,,,,1300,,,9.5,,,,
185,2016-01-01 19:00,9.6,,2.9,230,58,6.9,1.7,1021.3,1030.4,,,,,,,,,1400,,,8.6,,,,
185,2016-01-01 20:00,8.2,,3.1,110,63,6.8,1.5,1020.9,1030.1,,,,,,,,,900,,,8.2,,,,
185,2016-01-01 21:00,8.1,,1.6,110,65,7,1.9,1020.7,1029.9,,,,,,,,,900,,,7.8,,,,
185,2016-01-01 22:00,10.2,,2.2,230,56,6.9,1.7,1020.5,1029.6,,,,,,,,,1400,,,7.9,,,,
185,2016-01-01 23:00,10.4,,7.9,250,56,7,1.9,1020,1029.1,,,,,,,,,1500,,,7.7,,,,
185,2016-01-02 00:00,10.7,,6,250,58,7.4,2.7,1019.8,1028.9,,,,,,,,,1400,,,7.8,,,,
185,2016-01-02 01:00,10.8,,8.1,270,60,7.7,3.3,1019.4,1028.5,,,,,,,,,1500,,,8.2,,,,
185,2016-01-02 02:00,11.2,,7.2,250,58,7.7,3.2,1019,1028.1,,,,,,,,,1500,,,8.2,,,,
185,2016-01-02 03:00,11.5,,7,250,60,8.1,3.9,1018.3,1027.4,,,,,,,,,1600,,,8.1,,,,
185,2016-01-02 04:00,11.6,,6.3,250,61,8.3,4.3,1018,1027,,,,,,,,,1600,,,8.4,,,,
185,2016-01-02 05:00,11.8,,6.1,250,60,8.2,4.2,1017.3,1026.3,,,,,,,,,1700,,,8.4,,,,
185,2016-01-02 06:00,11.9,,4.3,250,61,8.5,4.6,1016.9,1025.9,,,,,,,,,1600,,,8.6,,,,
185,2016-01-02 07:00,12.2,,3.9,250,63,8.9,5.3,1017,1026,,,,,,,,,1500,,,8.6,,,,
185,2016-01-02 08:00,9.6,,3.5,140,70,8.3,4.3,1017,1026.1,0,.01,,,,,,,1000,,,8,,,,
185,2016-01-02 09:00,10.2,,2.7,140,71,8.8,5.1,1017,1026.1,0,.18,,,,,,,900,,,9.1,,,,
185,2016-01-02 10:00,12.9,,1.7,110,68,10.1,7.1,1016.9,1025.9,.7,.7,,,,,,,1100,,,13,,,,
185,2016-01-02 11:00,13.9,,1.8,180,63,9.9,6.9,1016.9,1025.8,.9,1.07,,,,,,,1800,,,16.8,,,,
185,2016-01-02 12:00,13.6,,2,230,66,10.2,7.3,1015.9,1024.8,.4,1.01,,,,,,,1500,,,17.3,,,,
185,2016-01-02 13:00,14,,1.8,200,67,10.6,7.9,1014.9,1023.8,0,.69,,,,,,,1600,,,17.2,,,,
185,2016-01-02 14:00,14.3,,1.6,200,67,10.9,8.2,1013.6,1022.5,.2,.82,,,,,,,1700,,,18.4,,,,
185,2016-01-02 15:00,14.2,,0,0,68,10.9,8.3,1013.4,1022.3,0,.54,,,,,,,1700,,,17.5,,,,
185,2016-01-02 16:00,13.9,,.1,0,71,11.2,8.7,1012.7,1021.6,0,.33,,,,,,,1600,,,16,,,,
185,2016-01-02 17:00,13.3,,.1,0,75,11.4,8.9,1012.6,1021.5,0,.13,,,,,,,1200,,,14.1,,,,
185,2016-01-02 18:00,13,,.8,110,74,11,8.4,1012.9,1021.8,0,.01,,,,,,,900,,,12.5,,,,
185,2016-01-02 19:00,12.6,,2.1,110,76,11,8.4,1013,1022,,,,,,,,,700,,,11.2,,,,
185,2016-01-02 20:00,12.1,,2.7,140,77,10.8,8.1,1012.9,1021.9,,,,,,,,,1000,,,10.3,,,,
185,2016-01-02 21:00,11.3,,3.2,110,79,10.5,7.7,1012.7,1021.7,,,,,,,,,1000,,,8.9,,,,
185,2016-01-02 22:00,11.1,,3.1,110,80,10.5,7.7,1012.8,1021.8,,,,,,,,,1000,,,8.9,,,,
