일시,기온(C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(C),현지기압(hPa),해면기압(hPa),일조(hr),적설(cm),지면온도(C),default,Sc,ScCi,AcCi,Ci,ScAs,StNs,CuSc,ScAc,AsCi,ScAcCi,Ac,ScNs,StAs,St,ScAsCi,As,CbStNs,CbScAs,CuCi,CbSc,CuAc,CuAcCi,CuScAc,CuAs,CuScCi,CuScAcCi,Cu,발전량
2014-01-01 01:00,8.5,0.0,2.9,270.0,48.0,5.3,-1.9,1013.7,1015.9,0.0,0.0,4.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.176
2014-01-01 02:00,8.6,0.0,1.5,290.0,52.0,5.8,-0.7,1013.9,1016.1,0.0,0.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666
2014-01-01 03:00,8.7,0.0,1.9,270.0,55.0,6.2,0.1,1014.2,1016.4,0.0,0.0,5.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.294
2014-01-01 04:00,6.4,0.0,2.2,230.0,59.0,5.7,-1.0,1014.1,1016.3,0.0,0.0,3.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.134
2014-01-01 05:00,3.9,0.0,1.2,230.0,69.0,5.6,-1.2,1013.6,1015.8,0.0,0.0,2.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14
2014-01-01 06:00,2.2,0.0,1.0,250.0,81.0,5.8,-0.7,1013.9,1016.1,0.0,0.0,2.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172
2014-01-01 07:00,4.9,0.0,1.5,270.0,68.0,5.9,-0.5,1014.5,1016.7,0.0,0.0,2.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76
2014-01-01 08:00,6.5,0.0,1.9,290.0,64.0,6.2,0.1,1015.2,1017.4,0.0,0.0,2.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.524
2014-01-01 09:00,8.7,0.0,3.5,290.0,49.0,5.5,-1.4,1015.8,1018.0,0.7,0.0,4.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.784
2014-01-01 10:00,10.3,0.0,5.8,290.0,45.0,5.6,-1.1,1016.0,1018.2,1.0,0.0,9.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.974
2014-01-01 11:00,11.1,0.0,6.7,290.0,39.0,5.2,-2.3,1016.2,1018.4,1.0,0.0,13.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.346
2014-01-01 12:00,12.2,0.0,4.4,290.0,30.0,4.3,-4.8,1015.9,1018.0,1.0,0.0,18.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.918
2014-01-01 13:00,11.8,0.0,6.1,290.0,27.0,3.7,-6.6,1015.1,1017.2,1.0,0.0,18.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4220000000000015
2014-01-01 14:00,12.1,0.0,5.4,290.0,32.0,4.5,-4.1,1014.5,1016.6,1.0,0.0,19.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.972
2014-01-01 15:00,12.1,0.0,4.8,290.0,36.0,5.1,-2.5,1014.5,1016.6,1.0,0.0,18.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91
