년원일,호기,총량,평균,최대,최소,최대(시간별),최소(시간별),00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017.01.01,2,2.8369999999999997,0.11800000000000001,0.44799999999999995,0.0,0.44799999999999995,0.036000000000000004,0.29100000000000004,0.04,0.426,0.39799999999999996,0.23,0.409,0.44799999999999995,0.32799999999999996,0.256,0.266,0.036000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.01.02,2,14.392000000000001,0.6,2.121,0.0,2.121,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098,0.377,0.252,0.508,0.525,0.5379999999999999,0.19899999999999998,0.76,0.51,1.8030000000000002,1.808,1.578,1.1740000000000002,0.9309999999999999,0.55,0.66
2017.01.03,2,112.715,4.696000000000001,7.129,2.497,7.129,2.497,2.121,6.202999999999999,7.129,5.775,5.949,5.902,5.303,5.631,5.815,5.731,4.524,5.255,4.871,4.088,3.427,4.101,3.924,4.257,4.244,2.497,2.97,3.344,3.343,3.938
2017.01.04,2,89.12299999999999,3.713,7.903,1.034,7.903,1.034,4.494,4.115,3.589,6.394,7.032,7.903,7.675,7.665,5.648,2.681,1.719,2.421,2.2119999999999997,2.296,1.5530000000000002,1.034,1.044,1.147,2.657,2.469,2.529,3.292,4.859,4.129
2017.01.05,2,46.818999999999996,1.9509999999999998,4.86,0.168,4.86,0.168,3.06,3.298,2.331,0.895,0.664,0.605,0.317,0.168,0.21,0.5820000000000001,0.342,0.424,0.509,0.953,0.888,1.402,2.7119999999999997,2.489,1.639,2.741,4.407,4.718,4.833,4.832
2017.01.06,2,74.342,3.0980000000000003,6.332999999999999,0.56,6.332999999999999,0.56,4.86,4.696000000000001,6.319,5.89,6.332999999999999,6.29,4.898,4.532,4.295,4.208,3.3480000000000003,3.18,2.75,2.4130000000000003,2.752,2.474,2.0669999999999997,1.49,1.446,0.946,0.825,0.884,0.883,0.863
2017.01.07,2,22.078000000000003,0.92,1.7790000000000001,0.318,1.7790000000000001,0.318,0.56,0.35100000000000003,0.467,0.7040000000000001,0.5710000000000001,0.628,0.638,0.966,0.754,0.66,0.915,0.924,0.868,1.413,1.7790000000000001,1.4580000000000002,0.79,1.626,1.7169999999999999,1.442,1.121,0.647,0.318,0.425
2017.01.08,2,51.693999999999996,2.154,5.944,0.638,5.944,0.638,0.8959999999999999,1.5819999999999999,2.032,3.614,4.822,3.708,2.612,2.166,1.4680000000000002,1.38,1.136,0.9540000000000001,0.9359999999999999,0.752,1.062,0.65,0.956,0.932,0.638,0.728,2.5140000000000002,3.528,4.8180000000000005,2.762
2017.01.09,2,121.20299999999999,5.05,7.54,0.9420000000000001,7.54,0.9420000000000001,5.944,5.784,1.9240000000000002,0.9420000000000001,1.4480000000000002,3.054,4.861000000000001,6.332000000000001,5.666,5.692,6.43,5.847,5.94,6.32,5.917000000000001,5.99,6.159,5.64,5.1080000000000005,4.218999999999999,7.54,7.475,4.003,4.0
2017.01.10,2,153.662,6.403,7.976,2.888,7.976,2.888,4.912,2.888,6.805,7.803,7.877999999999999,7.817,7.901,7.976,7.972,6.396,6.2379999999999995,5.666,6.857,7.537999999999999,7.537999999999999,7.877000000000001,7.773,7.3660000000000005,6.6739999999999995,5.485,5.041,3.2969999999999997,4.268,4.647
2017.01.11,2,114.617,4.776,7.099,2.099,7.099,2.099,3.9610000000000003,4.352,4.869,5.445,6.087000000000001,5.43,5.757000000000001,6.235,4.874,5.122999999999999,3.9010000000000002,4.156000000000001,5.462000000000001,5.38,6.301,7.099,6.484,6.492999999999999,4.567,4.796,3.062,2.225,2.099,2.201
