년원일,호기,총량,평균,최대,최소,최대(시간별),최소(시간별),01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2014.01.01,1,46.278,1.928,5.422,0.096,5.422,0.096,1.176,1.666,2.294,1.134,0.140,0.172,0.760,1.524,0.784,1.974,4.346,4.918,5.422,3.972,2.910,3.288,1.644,0.096,0.438,0.978,1.318,1.518,1.900,1.906
2014.01.01,2,38.733,1.614,4.285,0.106,4.285,0.106,1.252,2.011,2.082,0.947,0.115,0.106,0.794,1.371,0.784,1.546,3.610,3.925,4.285,3.394,2.467,2.631,1.493,0.117,0.211,0.546,0.748,1.043,1.416,1.839
2014.01.02,1,16.424,0.684,2.658,0.000,2.658,0.040,2.658,2.388,1.526,2.646,2.052,0.556,0.640,1.158,0.306,0.058,0.040,0.144,0.504,0.530,0.468,0.312,0.326,0.112,0.000,0.000,0.000,0.000,0.000,0.000
2014.01.02,2,13.940,0.581,2.637,0.000,2.637,0.010,2.637,2.366,1.416,2.617,1.920,0.363,0.343,0.687,0.212,0.051,0.010,0.067,0.319,0.296,0.264,0.140,0.174,0.058,0.000,0.000,0.000,0.000,0.000,0.000
2014.01.03,1,4.992,0.208,2.078,0.000,2.078,0.118,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.244,0.236,0.118,0.514,0.590,1.212,2.078
2014.01.03,2,3.763,0.157,1.281,0.000,1.281,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.256,0.179,0.130,0.389,0.453,1.075,1.281
2014.01.04,1,176.096,7.337,10.952,0.948,10.952,0.948,0.948,1.226,2.412,4.864,8.074,8.722,5.834,7.016,8.164,10.952,10.540,8.446,7.060,9.110,10.520,9.564,10.016,9.920,9.400,8.320,6.208,9.146,6.602,3.032
2014.01.04,2,126.888,5.287,7.554,0.552,7.554,0.552,0.552,0.792,1.505,3.107,5.294,5.915,4.277,4.728,5.267,7.427,6.791,5.619,5.336,6.639,7.423,7.502,7.377,7.333,7.015,6.206,5.017,7.554,5.411,2.801
2014.01.05,1,140.564,5.857,9.852,1.586,9.852,1.586,3.684,6.730,6.820,4.838,6.964,9.852,8.336,6.768,5.852,6.254,7.736,8.124,8.236,8.610,8.132,8.928,4.452,1.880,1.586,3.038,3.342,4.346,3.574,2.482
2014.01.05,2,107.742,4.489,7.986,0.999,7.986,0.999,3.448,6.744,7.138,3.880,5.324,7.986,7.508,5.719,4.410,4.403,5.500,5.572,5.824,6.298,5.522,5.763,3.436,1.594,0.999,1.617,2.182,3.502,2.239,1.134
2014.01.06,1,12.330,0.514,1.900,0.000,1.900,0.002,1.900,1.710,1.634,1.284,1.466,1.438,0.994,0.620,0.500,0.108,0.000,0.000,0.186,0.054,0.076,0.160,0.178,0.002,0.020,0.000,0.000,0.000,0.000,0.000
2014.01.06,2,7.284,0.304,1.022,0.000,1.022,0.012,0.898,1.022,0.986,0.758,0.860,0.930,0.630,0.434,0.360,0.054,0.000,0.000,0.092,0.012,0.052,0.080,0.116,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2014.01.07,1,3.390,0.141,0.788,0.000,0.788,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.038,0.686,0.076,0.000,0.110,0.610,0.424,0.488,0.788,0.168,0.000
2014.01.07,2,2.199,0.092,0.544,0.000,0.544,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.016,0.458,0.072,0.000,0.065,0.345,0.252,0.326,0.544,0.117,0.000
2014.01.08,1,188.916,7.872,11.752,0.002,11.752,0.002,0.002,0.122,0.538,0.786,1.304,5.406,5.446,6.692,9.344,8.766,8.942,10.034,10.622,10.872,10.352,9.320,10.792,10.566,11.584,11.532,11.266,11.138,11.738,11.752
2014.01.08,2,123.696,5.154,7.977,0.002,7.977,0.002,0.002,0.164,0.312,0.459,1.147,3.406,3.299,4.486,5.117,4.961,5.437,6.461,7.460,7.415,7.215,6.046,7.163,6.864,7.970,7.802,7.311,7.448,7.774,7.977
2014.01.09,1,263.154,10.965,11.992,9.140,11.992,9.140,11.984,11.818,11.544,11.986,10.966,10.950,11.992,10.810,9.896,10.910,11.690,11.572,11.040,11.436,11.400,10.904,11.144,11.068,11.002,10.572,9.592,10.386,9.352,9.140
2014.01.09,2,178.595,7.441,8.000,6.245,8.000,6.245,7.988,7.865,7.849,7.984,8.000,7.990,7.997,7.799,7.033,7.506,7.812,7.710,7.476,7.635,7.420,7.353,7.483,7.506,7.422,6.894,6.491,6.818,6.319,6.245
2014.01.10,1,36.368,1.515,7.770,0.002,7.770,0.002,7.770,6.962,4.806,3.486,3.240,2.328,2.190,1.248,0.154,0.128,0.314,0.130,0.416,0.242,0.790,0.402,0.074,0.086,0.002,0.190,0.498,0.392,0.336,0.184
2014.01.10,2,25.970,1.082,5.214,0.003,5.214,0.003,5.214,4.710,2.985,2.373,2.293,1.693,1.902,0.938,0.053,0.110,0.315,0.106,0.325,0.212,0.642,0.342,0.100,0.126,0.003,0.343,0.574,0.397,0.168,0.046
2014.01.11,1,43.306,1.804,6.240,0.000,6.240,0.006,0.000,0.006,0.212,0.178,0.944,2.794,2.444,6.240,4.118,2.572,3.084,2.554,2.496,2.386,2.150,2.300,2.654,1.620,0.218,0.598,0.562,0.752,1.122,1.302
