년원일,호기,총량,평균,최대,최소,최대(시간별),최소(시간별),01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2014.01.01,1,50.392,2.100,3.883,0.888,3.883,0.888,3.883,3.837,2.443,2.097,2.131,2.199,2.736,2.696,2.568,2.025,2.951,2.182,2.287,2.125,2.171,2.089,1.568,1.643,1.524,1.471,0.928,0.888,0.992,0.958
2014.01.01,2,122.374,5.099,11.431,1.591,11.431,1.591,11.088,11.431,8.366,6.809,6.651,6.999,9.335,9.588,8.699,6.983,5.095,3.692,3.188,2.821,2.996,3.107,2.706,2.207,2.019,1.844,1.591,1.680,1.791,1.688
2014.01.02,1,10.130,0.422,1.045,0.000,1.045,0.007,1.045,0.596,0.559,0.477,0.300,0.365,0.854,0.560,0.215,0.121,0.032,0.144,0.283,0.626,0.479,0.379,0.829,0.577,0.512,0.066,0.007,0.000,0.470,0.634
2014.01.02,2,35.703,1.488,2.737,0.000,2.737,0.241,1.846,1.578,1.651,1.581,1.106,1.627,2.021,1.749,1.124,0.830,0.881,1.198,1.486,2.485,2.263,2.468,2.737,1.764,1.600,0.826,0.241,0.000,1.031,1.610
2014.01.03,1,6.014,0.251,1.655,0.000,1.655,0.022,0.371,0.400,0.459,0.900,0.155,0.071,0.022,0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.172,0.512,0.504,0.719,1.655
2014.01.03,2,18.744,0.781,4.266,0.000,4.266,0.004,1.231,1.149,1.208,1.838,0.692,0.304,0.168,0.236,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.000,0.004,1.084,2.534,1.816,2.197,4.266
2014.01.04,1,63.512,2.646,4.121,0.786,4.121,0.786,1.870,2.246,1.715,1.702,1.740,2.399,2.020,0.834,0.786,2.232,3.270,3.066,3.174,3.501,3.653,3.785,3.605,3.820,4.016,4.121,2.505,2.581,2.548,2.323
2014.01.04,2,225.569,9.399,12.538,4.891,12.538,4.891,4.891,6.003,7.195,7.062,7.982,9.471,8.428,8.720,8.673,9.594,8.811,9.341,8.438,8.879,9.645,10.744,10.912,10.890,12.133,12.538,12.002,11.957,12.091,9.169
2014.01.05,1,49.844,2.077,3.382,0.821,3.382,0.821,2.277,0.821,0.821,0.838,0.974,1.084,1.256,1.153,1.080,2.852,2.547,3.328,2.972,2.959,2.752,2.973,2.822,2.984,3.382,2.077,2.371,2.427,2.217,0.877
2014.01.05,2,199.444,8.310,10.236,5.760,10.236,5.760,8.452,7.700,7.464,7.496,9.244,8.752,8.836,8.124,9.164,9.314,9.832,8.951,7.745,7.861,8.298,7.759,7.356,8.009,9.264,8.814,10.236,8.297,6.716,5.760
