date,price
2015-05-04,1081
2015-05-06,1081
2015-05-07,1093
2015-05-08,1090
2015-05-11,1092
2015-05-12,1097
2015-05-13,1098
2015-05-14,1091
2015-05-15,1087
2015-05-18,1087
2015-05-19,1090
2015-05-20,1097
2015-05-21,1092
2015-05-22,1091
2015-05-26,1106
2015-05-27,1105
2015-05-28,1106
2015-05-29,1109
2015-06-01,1113
2015-06-02,1113
2015-06-03,1107
2015-06-04,1110
2015-06-05,1113
2015-06-08,1123
2015-06-09,1120
2015-06-10,1110
2015-06-11,1112
2015-06-12,1117
2015-06-15,1117
2015-06-16,1119
2015-06-17,1118
2015-06-18,1103
2015-06-19,1108
2015-06-22,1100
2015-06-23,1105
2015-06-24,1108
2015-06-25,1111
2015-06-26,1120
2015-06-29,1123
2015-06-30,1116
2015-07-01,1121
2015-07-02,1127
2015-07-03,1124
2015-07-06,1126
2015-07-07,1134
2015-07-08,1137
2015-07-09,1133
2015-07-10,1130
2015-07-13,1132
2015-07-14,1142
2015-07-15,1145
2015-07-16,1148
2015-07-17,1146
2015-07-20,1155
2015-07-21,1154
2015-07-22,1153
2015-07-23,1161
2015-07-24,1170
2015-07-27,1168
2015-07-28,1167
2015-07-29,1161
2015-07-30,1170
2015-07-31,1172
2015-08-03,1168
2015-08-04,1164
2015-08-05,1171
2015-08-06,1168
2015-08-07,1167
2015-08-10,1164
2015-08-11,1177
2015-08-12,1183
2015-08-13,1175
2015-08-17,1183
2015-08-18,1182
2015-08-19,1183
2015-08-20,1190
2015-08-21,1194
2015-08-24,1202
2015-08-25,1183
2015-08-26,1187
2015-08-27,1180
2015-08-28,1177
2015-08-31,1183
2015-09-01,1176
2015-09-02,1184
2015-09-03,1190
2015-09-04,1191
2015-09-07,1204
2015-09-08,1198
2015-09-09,1194
2015-09-10,1187
2015-09-11,1186
2015-09-14,1183
2015-09-15,1182
2015-09-16,1175
2015-09-17,1168
2015-09-18,1162
2015-09-21,1177
2015-09-22,1183
2015-09-23,1190
2015-09-24,1194
2015-09-25,1194
2015-09-30,1182
2015-10-01,1177
2015-10-02,1183
2015-10-05,1168
2015-10-06,1167
2015-10-07,1157
2015-10-08,1162
2015-10-12,1144
2015-10-13,1150
2015-10-14,1145
2015-10-15,1127
2015-10-16,1133
2015-10-19,1124
2015-10-20,1132
2015-10-21,1137
2015-10-22,1138
2015-10-23,1128
2015-10-26,1133
2015-10-27,1134
2015-10-28,1132
2015-10-29,1145
2015-10-30,1139
2015-11-02,1141
2015-11-03,1134
2015-11-04,1134
2015-11-05,1139
2015-11-06,1142
2015-11-09,1159
2015-11-10,1159
2015-11-11,1156
2015-11-12,1160
2015-11-13,1166
2015-11-16,1172
2015-11-17,1173
2015-11-18,1171
2015-11-19,1164
2015-11-20,1157
2015-11-23,1160
2015-11-24,1154
2015-11-25,1144
2015-11-26,1150
2015-11-27,1156
2015-11-30,1158
2015-12-01,1158
2015-12-02,1164
2015-12-03,1165
2015-12-04,1161
2015-12-07,1168
2015-12-08,1178
2015-12-09,1182
2015-12-10,1181
