date,price
2015-05-04,267
2015-05-06,264
2015-05-07,262
2015-05-08,261
2015-05-11,261
2015-05-12,261
2015-05-13,263
2015-05-14,264
2015-05-15,261
2015-05-18,262
2015-05-19,263
2015-05-20,265
2015-05-21,263
2015-05-22,266
2015-05-26,265
2015-05-27,260
2015-05-28,260
2015-05-29,260
2015-06-01,259
2015-06-02,256
2015-06-03,254
2015-06-04,255
2015-06-05,255
2015-06-08,254
2015-06-09,254
2015-06-10,252
2015-06-11,252
2015-06-12,252
2015-06-15,251
2015-06-16,248
2015-06-17,249
2015-06-18,250
2015-06-19,250
2015-06-22,251
2015-06-23,255
2015-06-24,255
2015-06-25,254
2015-06-26,254
2015-06-29,251
2015-06-30,252
2015-07-01,255
2015-07-02,256
2015-07-03,255
2015-07-06,248
2015-07-07,248
2015-07-08,245
2015-07-09,247
2015-07-10,247
2015-07-13,250
2015-07-14,249
2015-07-15,250
2015-07-16,251
2015-07-17,250
2015-07-20,249
2015-07-21,250
2015-07-22,248
2015-07-23,247
2015-07-24,245
2015-07-27,245
2015-07-28,245
2015-07-29,246
2015-07-30,244
2015-07-31,244
2015-08-03,241
2015-08-04,244
2015-08-05,243
2015-08-06,240
2015-08-07,240
2015-08-10,239
2015-08-11,238
2015-08-12,237
2015-08-13,237
2015-08-17,235
2015-08-18,235
2015-08-19,234
2015-08-20,232
2015-08-21,227
2015-08-24,222
2015-08-25,223
2015-08-26,228
2015-08-27,229
2015-08-28,232
2015-08-31,233
2015-09-01,230
2015-09-02,230
2015-09-03,230
2015-09-04,228
2015-09-07,227
2015-09-08,228
2015-09-09,234
2015-09-10,237
2015-09-11,234
2015-09-14,233
2015-09-15,234
2015-09-16,239
2015-09-17,239
2015-09-18,241
2015-09-21,237
2015-09-22,239
2015-09-23,234
2015-09-24,234
2015-09-25,234
2015-09-30,237
2015-10-01,239
2015-10-02,237
2015-10-05,238
2015-10-06,240
2015-10-07,244
2015-10-08,246
2015-10-12,246
2015-10-13,246
2015-10-14,245
2015-10-15,248
2015-10-16,247
2015-10-19,247
2015-10-20,249
2015-10-21,249
2015-10-22,247
2015-10-23,249
2015-10-26,250
2015-10-27,250
2015-10-28,250
2015-10-29,249
2015-10-30,249
2015-11-02,251
2015-11-03,252
2015-11-04,252
2015-11-05,252
2015-11-06,250
2015-11-09,249
2015-11-10,246
2015-11-11,246
2015-11-12,245
2015-11-13,243
2015-11-16,239
2015-11-17,241
2015-11-18,241
2015-11-19,245
2015-11-20,245
2015-11-23,246
2015-11-24,248
2015-11-25,247
2015-11-26,249
2015-11-27,249
2015-11-30,244
2015-12-01,249
2015-12-02,247
2015-12-03,245
2015-12-04,242
2015-12-07,241
2015-12-08,239
2015-12-09,239
2015-12-10,241
2015-12-11,240
2015-12-14,238
2015-12-15,239
2015-12-16,243
2015-12-17,244
2015-12-18,243
2015-12-21,244
2015-12-22,245
2015-12-23,247
2015-12-24,245
2015-12-28,242
2015-12-29,241
2015-12-30,240
2016-01-04,235
2016-01-05,236
2016-01-06,235
2016-01-07,232
2016-01-08,234
2016-01-11,231
2016-01-12,231
2016-01-13,234
2016-01-14,231
2016-01-15,229
2016-01-18,229
2016-01-19,230
2016-01-20,225
2016-01-21,224
2016-01-22,229
2016-01-25,230
2016-01-26,227
2016-01-27,231
2016-01-28,232
2016-01-29,232
2016-02-01,234
2016-02-02,231
2016-02-03,229
2016-02-04,233
2016-02-05,233
2016-02-11,227
2016-02-12,225
2016-02-15,228
2016-02-16,232
2016-02-17,232
2016-02-18,235
2016-02-19,235
2016-02-22,235
2016-02-23,235
2016-02-24,235
2016-02-25,235
2016-02-26,235
2016-02-29,235
2016-03-02,239
2016-03-03,240
2016-03-04,240
2016-03-07,240
2016-03-08,238
2016-03-09,239
2016-03-10,241
2016-03-11,242
2016-03-14,242
2016-03-15,242
2016-03-16,242
2016-03-17,244
2016-03-18,245
2016-03-21,244
2016-03-22,245
2016-03-23,245
2016-03-24,244
2016-03-25,244
2016-03-28,244
2016-03-29,246
