date,price
2015.05.01,59
2015.05.04,59
2015.05.05,60
2015.05.06,61
2015.05.07,59
2015.05.08,59
2015.05.11,59
2015.05.12,61
2015.05.13,61
2015.05.14,60
2015.05.15,60
2015.05.18,59
2015.05.19,58
2015.05.20,59
2015.05.21,61
2015.05.22,60
2015.05.25,60
2015.05.26,58
2015.05.27,58
2015.05.28,58
2015.05.29,60
2015.06.01,60
2015.06.02,61
2015.06.03,60
2015.06.04,58
2015.06.05,59
2015.06.08,58
2015.06.09,60
2015.06.10,61
2015.06.11,61
2015.06.12,60
2015.06.15,60
2015.06.16,60
2015.06.17,60
2015.06.18,60
2015.06.19,60
2015.06.22,60
2015.06.23,61
2015.06.24,60
2015.06.25,60
2015.06.26,60
2015.06.29,58
2015.06.30,59
2015.07.01,57
2015.07.02,57
2015.07.03,56
2015.07.06,53
2015.07.07,52
2015.07.08,52
2015.07.09,53
2015.07.10,53
2015.07.13,52
2015.07.14,53
2015.07.15,51
2015.07.16,51
2015.07.17,51
2015.07.20,50
2015.07.21,51
2015.07.22,49
2015.07.23,48
2015.07.24,48
2015.07.27,47
2015.07.28,48
2015.07.29,49
2015.07.30,49
2015.07.31,47
2015.08.03,45
2015.08.04,46
2015.08.05,45
2015.08.06,45
2015.08.07,44
2015.08.10,45
2015.08.11,43
2015.08.12,43
2015.08.13,42
2015.08.14,43
2015.08.17,42
2015.08.18,43
2015.08.19,41
2015.08.20,41
2015.08.21,40
2015.08.24,38
2015.08.25,39
2015.08.26,39
2015.08.27,43
2015.08.28,45
2015.08.31,49
2015.09.01,45
2015.09.02,46
2015.09.03,47
2015.09.04,46
2015.09.07,44
2015.09.08,46
2015.09.09,44
2015.09.10,46
2015.09.11,45
2015.09.14,44
2015.09.15,45
2015.09.16,47
2015.09.17,47
2015.09.18,45
2015.09.21,47
2015.09.22,46
2015.09.23,44
2015.09.24,45
2015.09.25,46
2015.09.28,44
2015.09.29,45
2015.09.30,45
2015.10.01,45
2015.10.02,46
2015.10.05,46
2015.10.06,49
2015.10.07,48
2015.10.08,49
2015.10.09,50
2015.10.12,47
2015.10.13,47
2015.10.14,47
2015.10.15,46
2015.10.16,47
2015.10.19,46
2015.10.20,46
2015.10.21,45
2015.10.22,45
2015.10.23,45
2015.10.26,44
2015.10.27,43
2015.10.28,46
2015.10.29,46
2015.10.30,47
2015.11.02,46
2015.11.03,48
2015.11.04,46
2015.11.05,45
2015.11.06,44
2015.11.09,44
2015.11.10,44
2015.11.11,43
2015.11.12,42
2015.11.13,41
2015.11.16,42
2015.11.17,41
2015.11.18,41
2015.11.19,42
2015.11.20,42
2015.11.23,42
2015.11.24,43
2015.11.25,43
2015.11.26,43
2015.11.27,42
2015.11.30,42
2015.12.01,42
2015.12.02,40
2015.12.03,41
2015.12.04,40
2015.12.07,38
2015.12.08,38
2015.12.09,37
2015.12.10,37
2015.12.11,36
2015.12.14,36
2015.12.15,37
2015.12.16,36
2015.12.17,35
2015.12.18,35
2015.12.21,35
2015.12.22,36
2015.12.23,38
2015.12.24,38
2015.12.28,37
2015.12.29,38
2015.12.30,37
2015.12.31,37
2016.01.04,37
2016.01.05,36
2016.01.06,34
2016.01.07,33
2016.01.08,33
2016.01.11,31
2016.01.12,30
2016.01.13,30
2016.01.14,31
2016.01.15,29
2016.01.18,29
2016.01.19,28
2016.01.20,28
2016.01.21,30
2016.01.22,32
2016.01.25,30
2016.01.26,31
2016.01.27,32
2016.01.28,33
2016.01.29,34
2016.02.01,32
2016.02.02,30
2016.02.03,32
2016.02.04,32
2016.02.05,31
2016.02.08,30
2016.02.09,28
2016.02.10,27
2016.02.11,26
2016.02.12,29
2016.02.15,30
2016.02.16,29
2016.02.17,31
2016.02.18,31
2016.02.19,30
2016.02.22,33
2016.02.23,32
2016.02.24,32
2016.02.25,33
2016.02.26,33
2016.02.29,34
2016.03.01,34
2016.03.02,35
2016.03.03,35
2016.03.04,36
2016.03.07,38
2016.03.08,37
2016.03.09,38
2016.03.10,38
2016.03.11,39
2016.03.14,37
2016.03.15,36
2016.03.16,38
2016.03.17,40
2016.03.18,39
2016.03.21,42
2016.03.22,41
2016.03.23,40
2016.03.24,39
2016.03.28,39
2016.03.29,38
2016.03.30,38
2016.03.31,38
2016.04.01,37
2016.04.04,36
2016.04.05,36
2016.04.06,38
2016.04.07,37
2016.04.08,40
2016.04.11,40
2016.04.12,42
2016.04.13,42
2016.04.14,42
2016.04.15,40
2016.04.18,40
2016.04.19,41
2016.04.20,44
2016.04.21,43
2016.04.22,44
2016.04.25,43
2016.04.26,44
2016.04.27,45
2016.04.28,46
2016.04.29,46
2016.05.02,45
2016.05.03,44
2016.05.04,44
2016.05.05,44
2016.05.06,45
2016.05.09,43
2016.05.10,45
2016.05.11,46
2016.05.12,47
2016.05.13,46
2016.05.16,48
2016.05.17,48
2016.05.18,48
2016.05.19,49
2016.05.20,48
2016.05.23,48
2016.05.24,49
2016.05.25,50
2016.05.26,49
2016.05.27,49
2016.05.31,49
2016.06.01,49
2016.06.02,49
2016.06.03,49
2016.06.06,50
2016.06.07,50
2016.06.08,51
2016.06.09,51
2016.06.10,49
2016.06.13,49
2016.06.14,48
2016.06.15,48
2016.06.16,46
2016.06.17,48
2016.06.20,49
2016.06.21,50
2016.06.22,49
2016.06.23,50
2016.06.24,48
2016.06.27,46
2016.06.28,48
2016.06.29,50
2016.06.30,48
2016.07.01,49
2016.07.05,47
