date,price,transactions
2015-05-04,1400000,165674
2015-05-06,1362000,265410
2015-05-07,1370000,205148
2015-05-08,1338000,189762
2015-05-11,1336000,192809
2015-05-12,1331000,212664
2015-05-13,1333000,197545
2015-05-14,1340000,169770
2015-05-15,1326000,178447
2015-05-18,1320000,192537
2015-05-19,1338000,173618
2015-05-20,1366000,205829
2015-05-21,1352000,144212
2015-05-22,1350000,163916
2015-05-26,1362000,200683
2015-05-27,1314000,345309
2015-05-28,1309000,300963
2015-05-29,1307000,347615
2015-06-01,1291000,218439
2015-06-02,1303000,175151
2015-06-03,1273000,235388
2015-06-04,1337000,388239
2015-06-05,1341000,196563
2015-06-08,1314000,202379
2015-06-09,1282000,274705
2015-06-10,1262000,250034
2015-06-11,1257000,306281
2015-06-12,1277000,234830
2015-06-15,1270000,161356
2015-06-16,1255000,255352
2015-06-17,1254000,189046
2015-06-18,1265000,164952
2015-06-19,1266000,141895
2015-06-22,1281000,127418
2015-06-23,1321000,203180
2015-06-24,1302000,203960
2015-06-25,1269000,213916
2015-06-26,1278000,206950
2015-06-29,1281000,230399
2015-06-30,1268000,197407
2015-07-01,1295000,166498
2015-07-02,1299000,164460
2015-07-03,1268000,142604
2015-07-06,1230000,201999
2015-07-07,1240000,249565
2015-07-08,1239000,235619
2015-07-09,1265000,280610
2015-07-10,1259000,191468
2015-07-13,1266000,153441
2015-07-14,1225000,399794
2015-07-15,1235000,167413
2015-07-16,1282000,223469
2015-07-17,1305000,297233
2015-07-20,1275000,128928
2015-07-21,1263000,194055
2015-07-22,1253000,268323
2015-07-23,1234000,208965
2015-07-24,1229000,196584
2015-07-27,1230000,243040
2015-07-28,1230000,267627
2015-07-29,1263000,274689
2015-07-30,1215000,308392
2015-07-31,1185000,391589
2015-08-03,1175000,196891
2015-08-04,1182000,256887
2015-08-05,1159000,256050
2015-08-06,1115000,403981
2015-08-07,1136000,275742
2015-08-10,1141000,114450
2015-08-11,1157000,233286
2015-08-12,1154000,223080
2015-08-13,1140000,150411
2015-08-17,1104000,227217
2015-08-18,1131000,231672
2015-08-19,1154000,401415
2015-08-20,1139000,216119
2015-08-21,1101000,408851
2015-08-24,1079000,448592
2015-08-25,1079000,392519
2015-08-26,1067000,558952
2015-08-27,1067000,495388
2015-08-28,1081000,462223
2015-08-31,1089000,408309
2015-09-01,1085000,240372
2015-09-02,1090000,312683
2015-09-03,1122000,305142
2015-09-04,1129000,251734
2015-09-07,1112000,191805
2015-09-08,1131000,182330
2015-09-09,1147000,259376
2015-09-10,1134000,362568
2015-09-11,1115000,204167
2015-09-14,1124000,167073
2015-09-15,1123000,232956
2015-09-16,1152000,343763
2015-09-17,1157000,273960
2015-09-18,1190000,436270
2015-09-21,1150000,205359
2015-09-22,1145000,250675
2015-09-23,1131000,197649
2015-09-24,1126000,132721
2015-09-25,1112000,209160
2015-09-30,1134000,458936
2015-10-01,1134000,241041
2015-10-02,1119000,274302
2015-10-05,1115000,241935
2015-10-06,1151000,382987
2015-10-07,1251000,799502
2015-10-08,1270000,570677
2015-10-12,1260000,378974
2015-10-13,1252000,198000
2015-10-14,1254000,175051
2015-10-15,1269000,248503
2015-10-16,1265000,143968
2015-10-19,1256000,117070
2015-10-20,1266000,150347
2015-10-21,1270000,139567
2015-10-22,1280000,230673
2015-10-23,1289000,263071
2015-10-26,1292000,152165
2015-10-27,1298000,132241
2015-10-28,1308000,271303
2015-10-29,1325000,630471
2015-10-30,1372000,509385
2015-11-02,1383000,386546
2015-11-03,1352000,301840
2015-11-04,1330000,281070
2015-11-05,1342000,173042
2015-11-06,1338000,164322
2015-11-09,1344000,185661
2015-11-10,1321000,197551
2015-11-11,1333000,140449
2015-11-12,1317000,157417
2015-11-13,1300000,177677
2015-11-16,1263000,275705
2015-11-17,1270000,186184
2015-11-18,1281000,167735
2015-11-19,1289000,192850
2015-11-20,1285000,168720
2015-11-23,1282000,198820
2015-11-24,1299000,159560
2015-11-25,1299000,142627
2015-11-26,1335000,185800
2015-11-27,1327000,169854
2015-11-30,1284000,534006
2015-12-01,1321000,252113
2015-12-02,1300000,229628
2015-12-03,1290000,166695
2015-12-04,1269000,192711
2015-12-07,1262000,196107
2015-12-08,1262000,138322
2015-12-09,1263000,181812
2015-12-10,1283000,303867
2015-12-11,1284000,206729
2015-12-14,1261000,222801
2015-12-15,1277000,175494
2015-12-16,1299000,207962
2015-12-17,1290000,174677
2015-12-18,1278000,168369
2015-12-21,1280000,160466
2015-12-22,1292000,206192
2015-12-23,1295000,207148
2015-12-24,1285000,156151
2015-12-28,1266000,227230
2015-12-29,1254000,232944
2015-12-30,1260000,203958
2016-01-04,1205000,306939
2016-01-05,1208000,216002
2016-01-06,1175000,366752
2016-01-07,1163000,282388
2016-01-08,1171000,257763
2016-01-11,1152000,241277
2016-01-12,1146000,206283
2016-01-13,1148000,143316
2016-01-14,1138000,209022
2016-01-15,1132000,209464
2016-01-18,1126000,320214
2016-01-19,1171000,207242
2016-01-20,1138000,167052
2016-01-21,1131000,190352
2016-01-22,1168000,147528
2016-01-25,1162000,159913
2016-01-26,1137000,152399
2016-01-27,1175000,276237
2016-01-28,1145000,315912
2016-01-29,1150000,436983
2016-02-01,1163000,259979
2016-02-02,1156000,166348
2016-02-03,1146000,174507
2016-02-04,1156000,247959
2016-02-05,1164000,188094
2016-02-11,1130000,305262
2016-02-12,1130000,256232
2016-02-15,1154000,183146
2016-02-16,1168000,180401
2016-02-17,1185000,246062
2016-02-18,1187000,222481
2016-02-19,1190000,176852
2016-02-22,1175000,174899
2016-02-23,1181000,147674
2016-02-24,1172000,140484
2016-02-25,1179000,133635
2016-02-26,1172000,177344
2016-02-29,1178000,288680
2016-03-02,1197000,236372
2016-03-03,1220000,218991
2016-03-04,1215000,201490
2016-03-07,1223000,131376
2016-03-08,1192000,216202
2016-03-09,1194000,183380
2016-03-10,1225000,283540
2016-03-11,1249000,267225
2016-03-14,1255000,217154
2016-03-15,1253000,172808
2016-03-16,1256000,146856
2016-03-17,1263000,246869
2016-03-18,1273000,225314
2016-03-21,1267000,181170
2016-03-22,1269000,202872
2016-03-23,1279000,197418
2016-03-24,1282000,218795
2016-03-25,1288000,143446
2016-03-28,1294000,121218
2016-03-29,1290000,172454
2016-03-30,1308000,267605
2016-03-31,1312000,382615
2016-04-01,1279000,271156
2016-04-04,1305000,188046
2016-04-05,1260000,236319
2016-04-06,1285000,184234
2016-04-07,1269000,258795
2016-04-08,1246000,251868
2016-04-11,1266000,120693
2016-04-12,1275000,134054
2016-04-14,1300000,335327
2016-04-15,1300000,136599
2016-04-18,1299000,128474
2016-04-19,1288000,144766
2016-04-20,1299000,171972
2016-04-21,1294000,145089
2016-04-22,1280000,114830
2016-04-25,1281000,91957
2016-04-26,1296000,166901
2016-04-27,1300000,165946
2016-04-28,1265000,293069
2016-04-29,1245000,325078
2016-05-02,1250000,140552
2016-05-03,1261000,158066
2016-05-04,1290000,294055
2016-05-09,1299000,312894
2016-05-10,1296000,171191
2016-05-11,1292000,176688
2016-05-12,1281000,152302
2016-05-13,1253000,245698
2016-05-16,1248000,234403
2016-05-17,1264000,183671
2016-05-18,1268000,183392
2016-05-19,1270000,200249
2016-05-20,1269000,159211
2016-05-23,1286000,162251
2016-05-24,1271000,208692
2016-05-25,1295000,237255
2016-05-26,1296000,253073
2016-05-27,1282000,274891
2016-05-30,1280000,206307
2016-05-31,1292000,1250554
2016-06-01,1333000,470080
2016-06-02,1365000,476139
2016-06-03,1377000,341324
2016-06-07,1398000,462843
2016-06-08,1406000,376162
2016-06-09,1430000,515375
2016-06-10,1406000,289681
2016-06-13,1371000,304966
2016-06-14,1380000,245461
2016-06-15,1413000,306689
2016-06-16,1409000,292431
2016-06-17,1426000,328394
2016-06-20,1431000,270316
2016-06-21,1448000,200411
2016-06-22,1445000,178965
2016-06-23,1430000,225126
2016-06-24,1400000,411052
2016-06-27,1398000,236780
2016-06-28,1399000,214379
2016-06-29,1396000,210541
2016-06-30,1425000,273434
2016-07-01,1466000,287872
2016-07-04,1466000,159900
2016-07-05,1469000,157407
2016-07-06,1421000,334983
2016-07-07,1450000,229904
2016-07-08,1460000,269963
2016-07-11,1489000,281136
2016-07-12,1464000,220494
2016-07-13,1481000,200198
2016-07-14,1500000,248605
2016-07-15,1518000,232463
2016-07-18,1533000,231344
2016-07-19,1533000,202445
2016-07-20,1540000,155463
2016-07-21,1543000,170894
2016-07-22,1516000,171703
2016-07-25,1502000,154650
2016-07-26,1530000,144570
2016-07-27,1527000,126701
2016-07-28,1507000,190074
2016-07-29,1539000,299712
2016-08-01,1568000,230308
2016-08-02,1548000,166316
2016-08-03,1517000,150098
2016-08-04,1517000,140199
2016-08-05,1561000,139177
2016-08-08,1569000,222503
2016-08-09,1567000,180464
2016-08-10,1541000,246807
2016-08-11,1559000,210672
2016-08-12,1545000,209497
2016-08-16,1568000,216862
2016-08-17,1566000,148929
2016-08-18,1640000,366541
2016-08-19,1675000,336103
2016-08-22,1665000,252244
2016-08-23,1687000,230914
2016-08-24,1653000,318771
2016-08-25,1639000,283476
2016-08-26,1612000,241160
2016-08-29,1640000,178515
2016-08-30,1645000,156992
2016-08-31,1620000,410644
2016-09-01,1587000,375803
2016-09-02,1597000,163060
2016-09-05,1606000,167676
2016-09-06,1643000,153203
2016-09-07,1621000,191837
2016-09-08,1639000,241417
2016-09-09,1575000,265168
2016-09-12,1465000,529987
2016-09-13,1527000,494345
2016-09-19,1558000,448163
2016-09-20,1585000,258423
2016-09-21,1592000,210181
2016-09-22,1618000,228599
2016-09-23,1571000,365993
2016-09-26,1568000,290496
2016-09-27,1569000,196688
2016-09-28,1567000,174128
2016-09-29,1600000,227951
2016-09-30,1598000,235254
2016-10-04,1614000,261062
2016-10-05,1619000,249409
2016-10-06,1691000,591163
2016-10-07,1706000,521011
2016-10-10,1680000,505866
2016-10-11,1545000,768543
2016-10-12,1535000,781771
2016-10-13,1557000,437291
2016-10-14,1577000,283179
2016-10-17,1590000,255704
2016-10-18,1589000,207690
2016-10-19,1625000,308891
2016-10-20,1620000,206609
2016-10-21,1589000,209550
2016-10-24,1608000,185799
2016-10-25,1597000,197322
2016-10-26,1567000,210680
2016-10-27,1573000,282340
2016-10-28,1614000,204284
2016-10-31,1639000,241344
2016-11-01,1652000,206948
2016-11-02,1643000,201985
2016-11-03,1616000,206837
2016-11-04,1627000,142077
2016-11-07,1640000,153238
2016-11-08,1644000,108349
2016-11-09,1596000,313672
2016-11-10,1649000,235907
2016-11-11,1598000,256736
2016-11-14,1553000,302666
2016-11-15,1539000,273314
2016-11-16,1558000,266164
2016-11-17,1568000,157411
2016-11-18,1586000,189215
2016-11-21,1593000,163604
2016-11-22,1640000,195022
2016-11-23,1649000,253372
2016-11-24,1650000,155143
2016-11-25,1650000,125538
2016-11-28,1677000,265881
2016-11-29,1677000,361626
2016-11-30,1746000,570704
2016-12-01,1749000,310707
2016-12-02,1727000,307059
2016-12-05,1718000,169692
2016-12-06,1748000,280036
2016-12-07,1772000,192073
2016-12-08,1790000,329251
2016-12-09,1780000,213049
2016-12-12,1752000,228289
2016-12-13,1766000,233689
2016-12-14,1777000,149102
2016-12-15,1759000,115471
2016-12-16,1793000,234954
2016-12-19,1795000,108716
2016-12-20,1812000,152304
2016-12-21,1805000,131042
2016-12-22,1809000,127092
2016-12-23,1782000,166697
2016-12-26,1798000,96472
2016-12-27,1799000,93069
2016-12-28,1788000,133258
2016-12-29,1802000,150329
2017-01-02,1805000,93012
2017-01-03,1824000,147153
2017-01-04,1808000,159435
2017-01-05,1778000,219349
2017-01-06,1810000,177619
2017-01-09,1861000,263898
2017-01-10,1862000,181996
2017-01-11,1914000,240363
2017-01-12,1940000,233383
2017-01-13,1873000,319089
2017-01-16,1833000,332230
2017-01-17,1848000,163014
2017-01-18,1847000,177508
2017-01-19,1874000,188378
2017-01-20,1860000,183700
2017-01-23,1903000,176208
2017-01-24,1908000,220975
2017-01-25,1970000,268677
2017-01-26,1995000,304290
2017-01-31,1973000,359844
2017-02-01,1956000,283008
2017-02-02,1968000,300586
2017-02-03,1973000,207727
2017-02-06,1978000,177214
2017-02-07,1941000,280836
2017-02-08,1920000,341859
2017-02-09,1920000,273883
2017-02-10,1918000,220415
2017-02-13,1898000,222041
2017-02-14,1879000,262483
2017-02-15,1886000,283831
2017-02-16,1901000,204527
2017-02-17,1893000,307549
2017-02-20,1933000,149716
2017-02-21,1947000,211252
2017-02-22,1965000,170789
2017-02-23,1959000,204346
2017-02-24,1911000,185937
2017-02-27,1903000,180674
2017-02-28,1922000,301774
2017-03-02,1986000,424996
2017-03-03,1981000,254174
2017-03-06,2004000,244697
2017-03-07,2010000,211065
2017-03-08,2010000,242819
2017-03-09,2010000,287445
2017-03-10,2009000,204556
2017-03-13,2030000,148482
2017-03-14,2068000,226501
2017-03-15,2070000,191757
2017-03-16,2092000,198663
2017-03-17,2120000,252046
2017-03-20,2095000,205001
2017-03-21,2128000,284403
2017-03-22,2123000,328545
2017-03-23,2090000,307942
2017-03-24,2075000,256163
2017-03-27,2060000,243553
2017-03-28,2074000,164325
2017-03-29,2089000,201865
2017-03-30,2099000,164080
2017-03-31,2060000,210006
2017-04-03,2072000,191588
2017-04-04,2104000,245110
2017-04-05,2107000,213994
2017-04-06,2092000,193668
2017-04-07,2080000,200420
2017-04-10,2097000,142827
2017-04-11,2080000,143458
2017-04-12,2095000,165498
2017-04-13,2121000,180816
2017-04-14,2101000,109257
2017-04-17,2078000,104495
2017-04-18,2075000,137213
2017-04-19,2045000,235258
2017-04-20,2014000,422977
2017-04-21,2038000,302610
2017-04-24,2062000,179803
2017-04-25,2135000,385992
2017-04-26,2140000,295896
2017-04-27,2192000,460645
2017-04-28,2231000,453714
2017-05-02,2245000,281366
2017-05-04,2276000,273802
2017-05-08,2351000,391651
2017-05-10,2280000,468219
2017-05-11,2275000,425557
2017-05-12,2291000,188458
2017-05-15,2305000,160028
2017-05-16,2319000,176075
2017-05-17,2317000,148489
2017-05-18,2297000,223207
2017-05-19,2236000,315247
2017-05-22,2255000,352871
2017-05-23,2246000,252141
2017-05-24,2244000,173508
2017-05-25,2284000,260896
2017-05-26,2304000,272273
2017-05-29,2281000,174791
2017-05-30,2232000,248672
2017-05-31,2235000,373382
2017-06-01,2234000,195070
2017-06-02,2298000,249775
2017-06-05,2297000,151988
2017-06-07,2265000,274588
2017-06-08,2258000,279575
2017-06-09,2305000,234657
2017-06-12,2269000,219086
2017-06-13,2270000,172498
2017-06-14,2268000,203334
2017-06-15,2284000,193140
2017-06-16,2279000,348069
2017-06-19,2328000,226078
2017-06-20,2407000,300900
2017-06-21,2374000,199473
2017-06-22,2398000,229116
2017-06-23,2381000,190302
2017-06-26,2414000,171056
2017-06-27,2415000,192335
2017-06-28,2385000,191450
2017-06-29,2397000,166131
2017-06-30,2377000,237551
2017-07-03,2361000,136111
2017-07-04,2350000,159220
2017-07-05,2379000,212805
2017-07-06,2403000,218461
2017-07-07,2393000,162638
2017-07-10,2433000,215855
2017-07-11,2450000,194356
2017-07-12,2494000,189723
2017-07-13,2528000,320683
2017-07-14,2524000,164780
2017-07-17,2532000,179522
2017-07-18,2542000,141689
2017-07-19,2537000,223150
2017-07-20,2560000,167352
2017-07-21,2554000,168981
2017-07-24,2543000,141995
2017-07-25,2500000,216212
2017-07-26,2492000,224496
2017-07-27,2490000,228990
2017-07-28,2388000,523366
2017-07-31,2410000,254028
2017-08-01,2430000,227390
2017-08-02,2450000,155549
2017-08-03,2389000,310816
2017-08-04,2385000,167184
2017-08-07,2379000,144365
2017-08-08,2386000,159592
