date,price
2015-05-04,4480
2015-05-05,4299
2015-05-06,4229
2015-05-07,4112
2015-05-08,4206
2015-05-11,4334
2015-05-12,4401
2015-05-13,4376
2015-05-14,4378
2015-05-15,4309
2015-05-18,4283
2015-05-19,4418
2015-05-20,4446
2015-05-21,4529
2015-05-22,4658
2015-05-25,4814
2015-05-26,4911
2015-05-27,4942
2015-05-28,4620
2015-05-29,4612
2015-06-01,4829
2015-06-02,4911
2015-06-03,4910
2015-06-04,4947
2015-06-05,5023
2015-06-08,5132
2015-06-09,5114
2015-06-10,5106
2015-06-11,5122
2015-06-12,5166
2015-06-15,5063
2015-06-16,4887
2015-06-17,4968
2015-06-18,4785
2015-06-19,4478
2015-06-23,4576
2015-06-24,4690
2015-06-25,4528
2015-06-26,4193
2015-06-29,4053
2015-06-30,4277
2015-07-01,4054
2015-07-02,3913
2015-07-03,3687
2015-07-06,3776
2015-07-07,3727
2015-07-08,3507
2015-07-09,3709
2015-07-10,3878
2015-07-13,3970
2015-07-14,3924
2015-07-15,3806
2015-07-16,3823
2015-07-17,3957
2015-07-20,3992
2015-07-21,4018
2015-07-22,4026
2015-07-23,4124
2015-07-24,4071
2015-07-27,3726
2015-07-28,3663
2015-07-29,3789
2015-07-30,3706
2015-07-31,3664
2015-08-03,3623
2015-08-04,3757
2015-08-05,3695
2015-08-06,3662
2015-08-07,3744
2015-08-10,3928
2015-08-11,3928
2015-08-12,3886
2015-08-13,3955
2015-08-14,3965
2015-08-17,3994
2015-08-18,3748
2015-08-19,3794
2015-08-20,3664
2015-08-21,3508
2015-08-24,3210
2015-08-25,2965
2015-08-26,2927
2015-08-27,3084
2015-08-28,3232
2015-08-31,3206
2015-09-01,3167
2015-09-02,3160
2015-09-07,3080
2015-09-08,3170
2015-09-09,3243
2015-09-10,3198
2015-09-11,3200
2015-09-14,3115
2015-09-15,3005
2015-09-16,3152
2015-09-17,3086
2015-09-18,3098
2015-09-21,3157
2015-09-22,3186
2015-09-23,3116
2015-09-24,3143
2015-09-25,3092
2015-09-28,3101
2015-09-29,3038
2015-09-30,3053
2015-10-08,3143
2015-10-09,3183
2015-10-12,3288
2015-10-13,3293
2015-10-14,3262
2015-10-15,3338
2015-10-16,3391
2015-10-19,3387
2015-10-20,3425
2015-10-21,3321
2015-10-22,3369
2015-10-23,3412
2015-10-26,3430
2015-10-27,3434
2015-10-28,3375
2015-10-29,3387
2015-10-30,3383
2015-11-02,3325
2015-11-03,3317
2015-11-04,3460
2015-11-05,3523
2015-11-06,3590
2015-11-09,3647
2015-11-10,3640
2015-11-11,3650
2015-11-12,3633
2015-11-13,3581
2015-11-16,3607
2015-11-17,3605
2015-11-18,3568
2015-11-19,3617
2015-11-20,3631
2015-11-23,3610
2015-11-24,3616
2015-11-25,3648
2015-11-26,3636
2015-11-27,3436
2015-11-30,3445
2015-12-01,3456
2015-12-02,3537
2015-12-03,3585
2015-12-04,3525
2015-12-07,3537
2015-12-08,3470
2015-12-09,3472
2015-12-10,3456
2015-12-11,3435
2015-12-14,3521
2015-12-15,3510
2015-12-16,3516
2015-12-17,3580
2015-12-18,3579
2015-12-21,3642
2015-12-22,3652
2015-12-23,3636
2015-12-24,3612
2015-12-25,3628
2015-12-28,3534
2015-12-29,3564
2015-12-30,3573
2015-12-31,3539
2016-01-04,3296
2016-01-05,3288
2016-01-06,3362
2016-01-07,3125
2016-01-08,3186
2016-01-11,3017
2016-01-12,3023
2016-01-13,2950
2016-01-14,3008
2016-01-15,2901
2016-01-18,2914
2016-01-19,3008
2016-01-20,2977
2016-01-21,2880
2016-01-22,2917
2016-01-25,2939
2016-01-26,2750
2016-01-27,2736
2016-01-28,2656
2016-01-29,2738
2016-02-01,2689
2016-02-02,2750
2016-02-03,2739
2016-02-04,2781
2016-02-05,2763
2016-02-15,2746
2016-02-16,2837
2016-02-17,2867
2016-02-18,2863
2016-02-19,2860
2016-02-22,2927
2016-02-23,2903
2016-02-24,2929
2016-02-25,2741
2016-02-26,2767
2016-02-29,2688
2016-03-01,2733
2016-03-02,2850
2016-03-03,2860
2016-03-04,2874
2016-03-07,2897
2016-03-08,2901
2016-03-09,2863
2016-03-10,2805
2016-03-11,2810
2016-03-14,2860
2016-03-15,2864
2016-03-16,2870
2016-03-17,2905
2016-03-18,2955
2016-03-21,3019
2016-03-22,2999
2016-03-23,3010
2016-03-24,2961
2016-03-25,2979
2016-03-28,2958
2016-03-29,2920
2016-03-30,3001
2016-03-31,3004
2016-04-01,3010
2016-04-05,3053
2016-04-06,3051
2016-04-07,3008
2016-04-08,2985
2016-04-11,3034
2016-04-12,3024
2016-04-13,3067
2016-04-14,3082
2016-04-15,3078
2016-04-18,3034
2016-04-19,3043
2016-04-20,2973
2016-04-21,2953
2016-04-22,2959
2016-04-25,2947
2016-04-26,2965
2016-04-27,2954
2016-04-28,2946
2016-04-29,2938
2016-05-03,2993
2016-05-04,2991
2016-05-05,2998
2016-05-06,2913
2016-05-09,2832
2016-05-10,2833
2016-05-11,2837
2016-05-12,2836
2016-05-13,2827
2016-05-16,2851
2016-05-17,2844
2016-05-18,2808
2016-05-19,2807
2016-05-20,2825
2016-05-23,2844
2016-05-24,2822
2016-05-25,2815
2016-05-26,2822
2016-05-27,2821
2016-05-30,2822
2016-05-31,2917
2016-06-01,2914
2016-06-02,2925
2016-06-03,2939
2016-06-06,2934
2016-06-07,2936
2016-06-08,2927
2016-06-13,2833
2016-06-14,2842
2016-06-15,2887
2016-06-16,2873
2016-06-17,2885
2016-06-20,2889
2016-06-21,2879
2016-06-22,2906
2016-06-23,2892
2016-06-24,2854
2016-06-27,2896
2016-06-28,2913
2016-06-29,2932
2016-06-30,2930
2016-07-01,2932
2016-07-04,2989
2016-07-05,3006
2016-07-06,3017
2016-07-07,3017
2016-07-08,2988
2016-07-11,2995
2016-07-12,3049
2016-07-13,3061
2016-07-14,3054
2016-07-15,3054
2016-07-18,3044
2016-07-19,3037
2016-07-20,3028
2016-07-21,3039
2016-07-22,3013
2016-07-25,3016
2016-07-26,3050
2016-07-27,2992
2016-07-28,2994
2016-07-29,2979
2016-08-01,2953
2016-08-02,2971
2016-08-03,2978
2016-08-04,2982
2016-08-05,2977
2016-08-08,3004
2016-08-09,3026
2016-08-10,3019
2016-08-11,3003
2016-08-12,3051
2016-08-15,3125
2016-08-16,3110
2016-08-17,3110
2016-08-18,3104
2016-08-19,3108
2016-08-22,3085
2016-08-23,3090
2016-08-24,3086
2016-08-25,3068
2016-08-26,3070
2016-08-29,3070
2016-08-30,3075
2016-08-31,3085
2016-09-01,3063
2016-09-02,3067
2016-09-05,3072
2016-09-06,3091
2016-09-07,3092
2016-09-08,3096
2016-09-09,3079
2016-09-12,3022
2016-09-13,3024
2016-09-14,3003
2016-09-19,3026
2016-09-20,3023
2016-09-21,3026
2016-09-22,3042
2016-09-23,3034
2016-09-26,2980
2016-09-27,2998
2016-09-28,2988
2016-09-29,2998
2016-09-30,3005
2016-10-10,3048
2016-10-11,3065
2016-10-12,3059
2016-10-13,3061
2016-10-14,3064
2016-10-17,3041
2016-10-18,3084
2016-10-19,3085
2016-10-20,3084
2016-10-21,3091
2016-10-24,3128
2016-10-25,3132
2016-10-26,3116
2016-10-27,3112
2016-10-28,3104
2016-10-31,3100
2016-11-01,3122
2016-11-02,3103
2016-11-03,3129
2016-11-04,3125
2016-11-07,3133
2016-11-08,3148
2016-11-09,3128
2016-11-10,3171
2016-11-11,3196
2016-11-14,3210
