date,hold
2015-05-04,52.04
2015-05-06,52.06
2015-05-07,52.11
2015-05-08,52.18
2015-05-11,52.22
2015-05-12,52.2
2015-05-13,52.18
2015-05-14,52.23
2015-05-15,52.27
2015-05-18,52.29
2015-05-19,52.36
2015-05-20,52.44
2015-05-21,52.43
2015-05-22,52.54
2015-05-26,52.69
2015-05-27,52.77
2015-05-28,52.99
2015-05-29,53.15
2015-06-01,53.26
2015-06-02,53.28
2015-06-03,53.27
2015-06-04,53.29
2015-06-05,53.33
2015-06-08,53.23
2015-06-09,53.2
2015-06-10,53.22
2015-06-11,53.24
2015-06-12,53.2
2015-06-15,53.16
2015-06-16,52.94
2015-06-17,52.96
2015-06-18,52.93
2015-06-19,52.85
2015-06-22,52.77
2015-06-23,52.66
2015-06-24,52.56
2015-06-25,52.5
2015-06-26,52.29
2015-06-29,52.23
2015-06-30,52.15
2015-07-01,52.12
2015-07-02,52.07
2015-07-03,52.13
2015-07-06,52.0
2015-07-07,51.98
2015-07-08,51.96
2015-07-09,51.87
2015-07-10,51.85
2015-07-13,51.76
2015-07-14,51.53
2015-07-15,51.78
2015-07-16,51.8
2015-07-17,51.8
2015-07-20,51.69
2015-07-21,51.71
2015-07-22,51.56
2015-07-23,51.51
2015-07-24,51.48
2015-07-27,51.39
2015-07-28,51.27
2015-07-29,51.19
2015-07-30,51.09
2015-07-31,51.27
2015-08-03,51.24
2015-08-04,51.25
2015-08-05,51.21
2015-08-06,51.1
2015-08-07,51.07
2015-08-10,51.08
2015-08-11,51.02
2015-08-12,50.87
2015-08-13,50.86
2015-08-17,50.64
2015-08-18,50.57
2015-08-19,50.21
2015-08-20,50.05
2015-08-21,49.79
2015-08-24,49.3
2015-08-25,49.03
2015-08-26,48.69
2015-08-27,48.79
2015-08-28,48.86
2015-08-31,48.78
2015-09-01,48.78
2015-09-02,48.71
2015-09-03,48.78
2015-09-04,48.74
2015-09-07,48.74
2015-09-08,48.73
2015-09-09,48.76
2015-09-10,48.72
2015-09-11,48.68
2015-09-14,48.59
2015-09-15,48.45
2015-09-16,48.53
2015-09-17,48.73
2015-09-18,48.73
2015-09-21,48.67
2015-09-22,48.67
2015-09-23,48.67
2015-09-24,48.43
2015-09-25,48.33
2015-09-30,48.12
2015-10-01,48.03
2015-10-02,48.08
2015-10-05,48.14
2015-10-06,48.32
2015-10-07,48.26
2015-10-08,48.25
2015-10-12,48.27
2015-10-13,48.3
2015-10-14,48.41
2015-10-15,48.45
2015-10-16,48.42
2015-10-19,48.38
2015-10-20,48.32
2015-10-21,47.9
2015-10-22,47.49
2015-10-23,47.51
2015-10-26,47.54
2015-10-27,47.42
2015-10-28,47.26
2015-10-29,47.13
2015-10-30,46.95
2015-11-02,47.04
2015-11-03,46.96
2015-11-04,47.08
2015-11-05,47.12
2015-11-06,46.99
2015-11-09,46.92
2015-11-10,46.89
2015-11-11,46.87
2015-11-12,46.84
2015-11-13,46.84
2015-11-16,46.78
2015-11-17,46.73
2015-11-18,46.76
2015-11-19,46.82
2015-11-20,46.81
2015-11-23,46.77
2015-11-24,46.65
2015-11-25,46.84
2015-11-26,46.94
2015-11-27,46.88
2015-11-30,46.78
2015-12-01,46.71
2015-12-02,46.56
2015-12-03,46.52
2015-12-04,46.53
2015-12-07,46.5
2015-12-08,46.43
2015-12-09,46.41
2015-12-10,46.4
2015-12-11,46.37
2015-12-14,46.35
2015-12-15,46.37
2015-12-16,46.34
2015-12-17,46.34
2015-12-18,46.38
2015-12-21,46.4
2015-12-22,46.8
2015-12-23,46.94
2015-12-24,47.1
2015-12-28,47.13
2015-12-29,47.15
2015-12-30,47.17
2016-01-04,47.25
2016-01-05,47.25
2016-01-06,47.32
2016-01-07,47.32
2016-01-08,47.23
2016-01-11,47.03
2016-01-12,46.94
2016-01-13,46.9
2016-01-14,46.91
2016-01-15,46.75
2016-01-18,46.74
2016-01-19,46.82
2016-01-20,46.71
2016-01-21,46.67
2016-01-22,46.69
2016-01-25,46.72
2016-01-26,46.8
2016-01-27,46.76
2016-01-28,46.76
2016-01-29,46.7
2016-02-01,46.75
2016-02-02,46.76
2016-02-03,46.66
2016-02-04,46.69
2016-02-05,46.76
2016-02-11,46.74
2016-02-12,46.78
2016-02-15,46.78
2016-02-16,46.89
2016-02-17,47.01
2016-02-18,47.04
2016-02-19,47.01
2016-02-22,47.02
2016-02-23,47.04
2016-02-24,47.02
2016-02-25,47.03
2016-02-26,47.03
2016-02-29,47.0
2016-03-02,47.12
2016-03-03,47.25
2016-03-04,47.29
2016-03-07,47.48
2016-03-08,47.45
2016-03-09,47.5
2016-03-10,47.52
2016-03-11,47.63
2016-03-14,47.69
2016-03-15,47.69
2016-03-16,47.63
2016-03-17,47.61
2016-03-18,47.61
2016-03-21,47.64
2016-03-22,47.64
2016-03-23,47.7
2016-03-24,47.69
2016-03-25,47.7
2016-03-28,47.74
2016-03-29,47.82
2016-03-30,47.87
2016-03-31,47.81
2016-04-01,47.85
2016-04-04,47.88
2016-04-05,47.93
2016-04-06,47.9
2016-04-07,47.94
2016-04-08,48.0
2016-04-11,47.9
2016-04-12,47.86
2016-04-14,47.8
2016-04-15,47.67
2016-04-18,47.49
2016-04-19,47.46
2016-04-20,47.4
2016-04-21,47.27
2016-04-22,47.25
2016-04-25,47.24
2016-04-26,47.46
2016-04-27,47.61
2016-04-28,47.54
2016-04-29,47.6
2016-05-02,47.6
2016-05-03,47.55
2016-05-04,47.41
2016-05-09,47.3
2016-05-10,47.32
2016-05-11,47.32
2016-05-12,47.32
2016-05-13,47.33
2016-05-16,47.29
2016-05-17,47.27
2016-05-18,47.28
2016-05-19,47.36
2016-05-20,47.32
2016-05-23,47.34
2016-05-24,47.33
2016-05-25,47.34
2016-05-26,47.33
2016-05-27,47.68
2016-05-30,47.96
2016-05-31,47.97
2016-06-01,47.94
2016-06-02,47.95
2016-06-03,47.9
2016-06-07,47.96
2016-06-08,47.99
2016-06-09,48.07
2016-06-10,47.99
2016-06-13,47.95
2016-06-14,47.87
2016-06-15,47.99
2016-06-16,48.03
2016-06-17,47.98
2016-06-20,48.1
2016-06-21,48.06
2016-06-22,48.26
2016-06-23,48.62
2016-06-24,48.72
2016-06-27,48.65
2016-06-28,48.5
2016-06-29,48.6
2016-06-30,48.71
2016-07-01,48.76
2016-07-04,48.95
2016-07-05,48.98
2016-07-06,48.95
2016-07-07,48.92
2016-07-08,48.96
2016-07-11,49.04
2016-07-12,49.06
2016-07-13,49.28
2016-07-14,49.4
2016-07-15,49.5
2016-07-18,49.56
2016-07-19,49.63
2016-07-20,49.66
2016-07-21,49.69
2016-07-22,49.73
2016-07-25,49.77
2016-07-26,49.76
2016-07-27,50.04
2016-07-28,50.12
2016-07-29,50.31
2016-08-01,50.43
2016-08-02,50.41
2016-08-03,50.4
2016-08-04,50.37
2016-08-05,50.44
2016-08-08,50.46
2016-08-09,50.52
2016-08-10,50.49
2016-08-11,50.58
2016-08-12,50.61
2016-08-16,50.59
2016-08-17,50.6
2016-08-18,50.67
2016-08-19,50.91
2016-08-22,51.12
2016-08-23,51.17
2016-08-24,51.23
2016-08-25,51.26
2016-08-26,51.38
2016-08-29,51.48
2016-08-30,51.52
2016-08-31,51.6
2016-09-01,51.6
2016-09-02,51.68
2016-09-05,51.74
2016-09-06,51.84
2016-09-07,51.77
2016-09-08,51.77
2016-09-09,51.79
2016-09-12,51.63
2016-09-13,51.66
2016-09-19,51.66
2016-09-20,51.67
2016-09-21,51.66
2016-09-22,51.7
2016-09-23,51.68
2016-09-26,51.67
2016-09-27,51.81
2016-09-28,51.85
2016-09-29,51.72
2016-09-30,51.69
2016-10-04,51.74
2016-10-05,51.86
2016-10-06,51.83
2016-10-07,51.84
2016-10-10,51.76
2016-10-11,51.68
2016-10-12,51.65
2016-10-13,51.76
2016-10-14,51.76
2016-10-17,51.86
2016-10-18,51.78
2016-10-19,51.7
2016-10-20,51.67
2016-10-21,51.75
2016-10-24,51.71
2016-10-25,51.74
2016-10-26,51.88
2016-10-27,51.92
2016-10-28,51.87
2016-10-31,51.75
2016-11-01,51.76
2016-11-02,51.7
2016-11-03,51.69
2016-11-04,51.69
2016-11-07,51.67
2016-11-08,51.59
2016-11-09,51.4
2016-11-10,51.41
2016-11-11,51.37
2016-11-14,51.34
2016-11-15,51.36
2016-11-16,51.42
2016-11-17,51.55
2016-11-18,51.52
2016-11-21,51.46
2016-11-22,51.5
2016-11-23,51.62
2016-11-24,51.56
2016-11-25,51.51
2016-11-28,51.51
2016-11-29,51.48
2016-11-30,51.44
2016-12-01,51.5
2016-12-02,51.49
2016-12-05,51.48
2016-12-06,51.49
2016-12-07,51.49
2016-12-08,51.53
2016-12-09,51.42
2016-12-12,51.44
2016-12-13,51.44
2016-12-14,51.49
2016-12-15,51.41
2016-12-16,51.45
2016-12-19,51.38
2016-12-20,51.38
2016-12-21,51.35
2016-12-22,51.36
2016-12-23,51.43
2016-12-26,51.37
2016-12-27,51.36
2016-12-28,51.38
2016-12-29,51.32
2017-01-02,51.33
2017-01-03,51.39
2017-01-04,51.3
2017-01-05,51.36
2017-01-06,51.32
2017-01-09,51.32
2017-01-10,51.28
2017-01-11,51.33
2017-01-12,51.04
2017-01-13,50.94
2017-01-16,50.84
2017-01-17,50.8
2017-01-18,50.76
2017-01-19,50.78
2017-01-20,50.75
2017-01-23,50.76
2017-01-24,50.75
2017-01-25,50.77
2017-01-26,50.9
2017-01-31,50.86
2017-02-01,50.83
2017-02-02,50.81
2017-02-03,50.78
2017-02-06,50.79
2017-02-07,50.76
2017-02-08,50.77
2017-02-09,50.51
2017-02-10,50.23
2017-02-13,50.26
2017-02-14,50.33
2017-02-15,50.02
2017-02-16,50.1
2017-02-17,50.13
2017-02-20,50.14
2017-02-21,50.07
2017-02-22,50.09
2017-02-23,50.05
2017-02-24,49.89
2017-02-27,49.38
2017-02-28,49.42
2017-03-02,49.36
2017-03-03,49.27
2017-03-06,49.47
2017-03-07,49.4
2017-03-08,49.36
2017-03-09,49.47
2017-03-10,49.58
2017-03-13,49.77
2017-03-14,49.79
2017-03-15,49.76
2017-03-16,49.75
2017-03-17,49.66
2017-03-20,49.7
2017-03-21,49.73
2017-03-22,49.79
2017-03-23,49.79
2017-03-24,49.9
2017-03-27,50.19
2017-03-28,50.36
2017-03-29,50.49
2017-03-30,50.67
2017-03-31,50.7
2017-04-03,50.76
2017-04-04,50.8
2017-04-05,50.71
2017-04-06,50.57
2017-04-07,50.51
2017-04-10,50.46
2017-04-11,50.43
2017-04-12,50.41
2017-04-13,50.42
2017-04-14,50.47
2017-04-17,50.39
2017-04-18,50.42
2017-04-19,50.44
2017-04-20,50.58
2017-04-21,50.76
2017-04-24,50.81
2017-04-25,50.91
2017-04-26,51.1
2017-04-27,51.11
2017-04-28,51.14
2017-05-02,51.25
2017-05-04,51.32
2017-05-08,51.36
2017-05-10,51.33
2017-05-11,51.31
2017-05-12,51.27
2017-05-15,51.29
2017-05-16,51.25
2017-05-17,51.25
2017-05-18,51.28
2017-05-19,51.2
2017-05-22,51.27
2017-05-23,51.17
2017-05-24,51.27
2017-05-25,51.28
2017-05-26,51.37
2017-05-29,51.36
2017-05-30,51.3
2017-05-31,51.24
2017-06-01,51.24
2017-06-02,51.29
2017-06-05,51.26
2017-06-07,51.29
2017-06-08,51.3
