date,price,transactions
2015-05-04,46800,2239896
2015-05-06,45300,3291950
2015-05-07,45900,2142745
2015-05-11,46300,1592730
2015-05-12,46050,2364231
2015-05-13,45250,1896100
2015-05-14,45550,1889682
2015-05-15,45300,1215027
2015-05-18,45450,2195599
2015-05-19,46100,1510095
2015-05-20,46850,1784488
2015-05-21,46350,1880002
2015-05-26,48000,3594626
2015-05-27,48450,3441135
2015-05-28,49650,5512264
2015-05-29,51100,6512595
2015-06-01,50600,4623131
2015-06-02,51200,2173205
2015-06-03,49800,2724813
2015-06-04,48300,3262007
2015-06-05,49050,2134371
2015-06-09,48000,2168902
2015-06-10,47500,2649918
2015-06-11,47100,2696182
2015-06-12,46550,2307036
2015-06-15,46150,1775422
2015-06-16,44200,6161260
2015-06-17,44950,3461566
2015-06-18,44300,2225236
2015-06-19,43550,3858378
2015-06-23,44150,2676531
2015-06-24,43350,2694795
2015-06-25,43100,3270655
2015-06-26,42000,7935060
2015-06-29,42600,4892150
2015-06-30,42300,2598797
2015-07-01,42800,2126825
2015-07-02,42100,2592544
2015-07-03,42650,2903385
2015-07-07,41350,3183795
2015-07-08,40900,3335846
2015-07-09,40950,3018029
2015-07-10,40850,2738522
2015-07-13,40550,3707444
2015-07-14,37850,15180511
2015-07-15,39300,8281669
2015-07-16,39450,2373825
2015-07-17,39950,3352178
2015-07-21,39050,2531422
2015-07-22,38200,3986610
2015-07-23,39000,8215778
2015-07-24,38550,3411382
2015-07-27,37250,4142170
2015-07-28,37100,3657208
2015-07-29,37000,3040352
2015-07-30,34500,9328208
2015-07-31,37100,7074785
2015-08-04,37250,4060733
2015-08-05,37300,3330999
2015-08-06,36100,3888988
2015-08-07,36200,3381532
2015-08-10,36300,1336480
2015-08-11,36100,2890084
2015-08-12,35800,2824462
2015-08-13,36900,2748437
2015-08-17,35650,3808016
2015-08-19,33000,8813242
2015-08-20,33050,4588759
2015-08-21,32000,6084203
2015-08-24,31050,8593829
2015-08-25,33500,11821629
2015-08-26,33450,6534943
2015-08-27,35500,7063277
2015-08-28,36900,7382006
2015-08-31,35800,4408499
2015-09-02,34350,4161070
2015-09-03,35400,4222565
2015-09-04,34850,2438126
2015-09-07,34750,1624613
2015-09-08,34750,1494929
2015-09-09,36000,3035809
2015-09-10,35950,3079224
2015-09-11,35000,3242067
2015-09-14,34600,2163452
2015-09-16,35100,3876376
2015-09-17,36150,4734065
2015-09-18,35750,3267741
2015-09-21,34800,2538367
2015-09-22,34900,2004067
2015-09-23,34700,1641929
2015-09-24,33850,4172759
2015-09-25,34350,2813254
2015-09-30,33550,4158644
2015-10-02,34550,3052650
2015-10-05,35350,4367169
2015-10-06,37200,5944141
2015-10-07,37300,3879936
2015-10-08,37550,3824312
2015-10-12,36850,2519174
2015-10-13,36000,2961513
2015-10-14,36400,3720738
2015-10-15,36750,2943506
2015-10-19,35750,1967828
2015-10-20,35700,2686193
2015-10-21,33650,9957394
2015-10-22,31950,10914420
2015-10-23,32100,6341772
2015-10-26,32900,3326112
2015-10-27,32150,3535671
2015-10-28,31450,4322506
2015-10-29,31450,4273016
2015-11-02,32150,4493014
2015-11-03,31900,4453120
2015-11-04,32600,3276995
2015-11-05,32650,1928001
2015-11-06,31200,5219855
2015-11-09,31250,3563095
2015-11-10,31150,2724051
2015-11-11,31000,2898877
2015-11-12,30700,1537585
2015-11-16,30500,2351453
2015-11-17,30600,1935683
2015-11-18,30550,3137103
2015-11-19,31200,2525784
2015-11-20,31000,2097039
2015-11-23,30650,2430154
2015-11-24,30200,3308696
2015-11-25,31900,6941459
2015-11-26,32750,13223992
2015-11-30,31600,3917877
2015-12-01,31350,3752942
2015-12-02,31200,2731791
2015-12-03,31150,1730137
2015-12-04,31200,2125421
2015-12-07,30700,2238378
2015-12-08,30200,2483443
2015-12-09,30250,1524501
2015-12-10,30300,3145787
2015-12-14,29000,3669577
2015-12-15,29400,2006190
2015-12-16,30400,2601080
2015-12-17,30250,2210682
2015-12-18,30600,2854920
2015-12-21,30500,1576561
2015-12-22,32200,6861264
2015-12-23,32700,5331047
2015-12-24,31700,3624175
2015-12-29,31200,1965713
2015-12-30,30750,1801261
2016-01-04,30150,1878039
2016-01-05,30600,2482905
2016-01-06,30750,2461593
2016-01-07,30200,2424880
2016-01-08,29700,3967121
2016-01-11,28650,5358223
2016-01-12,27800,4418384
2016-01-14,27900,3957935
2016-01-15,26800,5431851
2016-01-18,26700,3658921
2016-01-19,28300,4291742
2016-01-20,26800,4186899
2016-01-21,26600,2840628
2016-01-22,27150,2361216
2016-01-25,28000,2977310
2016-01-26,27850,5351814
2016-01-28,27650,3035447
2016-01-29,27300,2898720
2016-02-01,28400,4767927
2016-02-02,28450,2865209
2016-02-03,27450,2705269
2016-02-04,28100,2459305
2016-02-05,28100,1484771
2016-02-11,27150,2468082
2016-02-12,27350,2429857
2016-02-16,28900,3851681
2016-02-17,30050,6106318
2016-02-18,30200,2972873
2016-02-19,29600,2336536
2016-02-22,29900,1366180
2016-02-23,30400,2123648
2016-02-24,30900,3480563
2016-02-25,30800,2527297
2016-02-26,30800,1282277
2016-03-02,30950,3567312
2016-03-03,31950,3898363
2016-03-04,31900,1913316
2016-03-07,31900,3487206
2016-03-08,30500,4616147
2016-03-09,30550,3503375
2016-03-10,30300,2734070
2016-03-11,30700,2117430
2016-03-14,30350,2062549
2016-03-16,29200,2902896
2016-03-17,29250,2768278
2016-03-18,29450,2864640
2016-03-21,29550,1783055
2016-03-22,30200,2546366
2016-03-23,30250,1868041
2016-03-24,29450,3587082
2016-03-25,29150,1978956
2016-03-28,28550,2795412
2016-03-30,28650,3512889
2016-03-31,28150,4336581
2016-04-01,28200,2991431
2016-04-04,27900,2823088
2016-04-05,27850,2032745
2016-04-06,27500,2410844
2016-04-07,26900,4588396
2016-04-08,27800,3718690
2016-04-11,27150,2425426
2016-04-14,27250,4761215
2016-04-15,27650,2785108
2016-04-18,27200,3861103
2016-04-19,27450,1843729
2016-04-20,27550,3231788
2016-04-21,27550,2999400
2016-04-22,27500,1556764
2016-04-25,27500,1506644
2016-04-26,29150,7750203
2016-04-28,27900,6766879
2016-04-29,28150,2878692
2016-05-02,27850,1306092
2016-05-03,27650,1373116
2016-05-04,26650,4388484
2016-05-09,25750,5291220
2016-05-10,26400,2564593
2016-05-11,26200,1735332
2016-05-12,26100,1759282
2016-05-16,26100,1337159
2016-05-17,25900,1545947
2016-05-18,26200,2474774
2016-05-19,26600,4367007
2016-05-20,26300,2245019
2016-05-23,27200,4534043
2016-05-24,26850,2428278
