date,hold
2015-05-04,51.67
2015-05-06,51.63
2015-05-07,51.62
2015-05-08,51.59
2015-05-11,51.61
2015-05-12,51.62
2015-05-13,51.62
2015-05-14,51.63
2015-05-15,51.64
2015-05-18,51.63
2015-05-19,51.66
2015-05-20,51.7
2015-05-21,51.73
2015-05-22,51.72
2015-05-26,51.73
2015-05-27,51.71
2015-05-28,51.72
2015-05-29,51.71
2015-06-01,51.71
2015-06-02,51.73
2015-06-03,51.72
2015-06-04,51.82
2015-06-05,51.82
2015-06-08,51.8
2015-06-09,51.76
2015-06-10,51.72
2015-06-11,51.71
2015-06-12,51.73
2015-06-15,51.75
2015-06-16,51.74
2015-06-17,51.75
2015-06-18,51.74
2015-06-19,51.71
2015-06-22,51.74
2015-06-23,51.79
2015-06-24,51.81
2015-06-25,51.81
2015-06-26,51.84
2015-06-29,51.81
2015-06-30,51.8
2015-07-01,51.84
2015-07-02,51.86
2015-07-03,51.86
2015-07-06,51.8
2015-07-07,51.79
2015-07-08,51.78
2015-07-09,51.78
2015-07-10,51.77
2015-07-13,51.77
2015-07-14,51.77
2015-07-15,51.77
2015-07-16,51.8
2015-07-17,51.82
2015-07-20,51.82
2015-07-21,51.8
2015-07-22,51.79
2015-07-23,51.76
2015-07-24,51.73
2015-07-27,51.7
2015-07-28,51.69
2015-07-29,51.69
2015-07-30,51.65
2015-07-31,51.6
2015-08-03,51.6
2015-08-04,51.6
2015-08-05,51.59
2015-08-06,51.55
2015-08-07,51.6
2015-08-10,51.62
2015-08-11,51.64
2015-08-12,51.6
2015-08-13,51.58
2015-08-17,51.52
2015-08-18,51.54
2015-08-19,51.63
2015-08-20,51.6
2015-08-21,51.5
2015-08-24,51.41
2015-08-25,51.34
2015-08-26,51.18
2015-08-27,51.1
2015-08-28,51.05
2015-08-31,51.06
2015-09-01,51.1
2015-09-02,51.12
2015-09-03,51.15
2015-09-04,51.17
2015-09-07,51.12
2015-09-08,51.12
2015-09-09,51.07
2015-09-10,51.01
2015-09-11,51.0
2015-09-14,51.0
2015-09-15,50.97
2015-09-16,50.95
2015-09-17,50.93
2015-09-18,50.97
2015-09-21,50.93
2015-09-22,50.88
2015-09-23,50.84
2015-09-24,50.81
2015-09-25,50.76
2015-09-30,50.77
2015-10-01,50.76
2015-10-02,50.71
2015-10-05,50.67
2015-10-06,50.65
2015-10-07,50.77
2015-10-08,50.87
2015-10-12,50.85
2015-10-13,50.83
2015-10-14,50.81
2015-10-15,50.79
2015-10-16,50.74
2015-10-19,50.73
2015-10-20,50.7
2015-10-21,50.69
2015-10-22,50.66
2015-10-23,50.63
2015-10-26,50.63
2015-10-27,50.61
2015-10-28,50.56
2015-10-29,50.62
2015-10-30,50.67
2015-11-02,50.7
2015-11-03,50.67
2015-11-04,50.66
2015-11-05,50.67
2015-11-06,50.65
2015-11-09,50.64
2015-11-10,50.62
2015-11-11,50.61
2015-11-12,50.57
2015-11-13,50.55
2015-11-16,50.51
2015-11-17,50.5
2015-11-18,50.5
2015-11-19,50.46
2015-11-20,50.41
2015-11-23,50.37
2015-11-24,50.35
2015-11-25,50.31
2015-11-26,50.31
2015-11-27,50.27
2015-11-30,50.16
2015-12-01,50.25
2015-12-02,50.11
2015-12-03,50.08
2015-12-04,50.03
2015-12-07,49.99
2015-12-08,49.96
2015-12-09,49.91
2015-12-10,49.85
2015-12-11,49.8
2015-12-14,49.72
2015-12-15,49.65
2015-12-16,49.62
2015-12-17,49.57
2015-12-18,49.56
2015-12-21,49.5
2015-12-22,49.49
2015-12-23,49.46
2015-12-24,49.42
2015-12-28,49.43
2015-12-29,49.39
2015-12-30,49.39
2016-01-04,49.35
2016-01-05,49.34
2016-01-06,49.32
2016-01-07,49.28
2016-01-08,49.26
2016-01-11,49.19
2016-01-12,49.15
2016-01-13,49.14
2016-01-14,49.12
2016-01-15,49.11
2016-01-18,49.07
2016-01-19,49.1
2016-01-20,49.07
